Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
4344134,2,ALDERMAN,STACKS,PL1201 .K322 1948,1948,Zhongguo yin yun xue yan jiu /,"Karlgren, Bernhard,",X006190908,BOOK,2/2/06,9/27/07,STACKS,0,0,0,1
4681200,2,ALDERMAN,STACKS,PL1201 .K322 1962,1962,Zhongguo yin yun xue yan jiu /,"Karlgren, Bernhard,",X030340063,BOOK,1/22/08,12/11/13,STACKS,0,0,0,1
2137153,2,ALDERMAN,STACKS,PL1201 .K34,1940,Grammata serica : script and phonetics in Chinese and Sino-Japanese /,"Karlgren, Bernhard,",X002149921,BOOK,7/1/96,9/27/07,STACKS,0,0,1,1
2137153,2,ALDERMAN,STACKS,PL1201 .K34,1940,Grammata serica : script and phonetics in Chinese and Sino-Japanese /,"Karlgren, Bernhard,",X030368960,BOOK,3/5/08,1/1/00,STACKS,0,0,1,1
2693107,2,ALDERMAN,STACKS,PL1201 .K34 C43 1972,1972,Gao Benhan xie sheng pu : xie sheng zi ji you tu zi yu sheng tiao di guan xi zhi yan jiu /,"Chen, Shengchang",X000219808,BOOK,6/5/97,9/27/07,STACKS,0,0,0,1
4328062,2,ALDERMAN,STACKS,PL1201 .K342 1963,1963,Compendium of phonetics in ancient and archaic Chinese.,"Karlgren, Bernhard,",X004953781,BOOK,11/17/05,9/22/09,STACKS,0,0,1,1
4328060,2,ALDERMAN,STACKS,PL1201 .K343 1964,1964,Grammata serica recensa.,"Karlgren, Bernhard,",X004953783,BOOK,11/17/05,9/27/07,STACKS,0,0,0,1
6148766,2,ALDERMAN,STACKS,PL1201 .K853 G835 2013,2013,"""Guang yun"" fan qie jin du shou ce /",,X031632631,BOOK,10/25/13,1/1/00,STACKS,0,0,0,1
2915409,2,ALDERMAN,STACKS,PL1201 .K853 H37 1966,1966,K?in hansetsu sakuin /,"Harada, Taneshige,",X004308018,BOOK,5/26/99,9/27/07,STACKS,0,0,0,1
2841101,2,ALDERMAN,STACKS,PL1201 .L42 1999,1999,Han zi gu jin yin biao (xiu ding ben) /,"Li, Zhenhua.",X004278962,BOOK,10/12/98,9/27/07,STACKS,0,0,0,1
2783804,2,ALDERMAN,STACKS,PL1201 .L43,1980,Shang gu yin yan jiu /,"Li, Fanggui.",X030225813,BOOK,4/7/98,9/27/07,STACKS,0,0,0,1
4891469,2,ALDERMAN,STACKS,PL1201 .L45 1983,1983,Han yu deng yun xue /,"Li, Xinkui.",X004087174,BOOK,7/13/11,1/1/00,STACKS,0,0,0,1
4341550,2,ALDERMAN,STACKS,PL1201 .L48 1966,1966,Gu jin yun kao.,"Li, Yindu,",X004994862,BOOK,1/23/06,9/27/07,STACKS,0,0,0,1
4364002,2,ALDERMAN,STACKS,PL1201 .L48638 2005,2005,Yin yun wen xian yu yin yun xue shi : Li Wuwei wen cun /,"Li, Wuwei.",X030217193,BOOK,4/27/06,9/27/07,STACKS,0,0,0,1
676744,2,ALDERMAN,STACKS,PL1201 .L5 1925a,1963,Shi yun hui bien /,"Liu, Fu,",X030285575,BOOK,6/29/96,11/26/07,STACKS,0,0,0,1
422881,2,ALDERMAN,STACKS,PL1201 .L54,1976,The Chinese syllabic final : phonological relativity and constituent analysis /,"Light, Timothy.",X000085238,BOOK,6/29/96,9/27/07,STACKS,0,0,0,1
4599067,2,ALDERMAN,STACKS,PL1201 .L59 2004,2004,Sheng yun xue biao jie /,"Liu, Ze,",X030239669,BOOK,6/15/07,9/27/07,STACKS,0,0,0,1
682873,2,ALDERMAN,STACKS,PL1201 .L6,1956,Han yu yin yun xue dao lun = [on Chinese phonetics].,"Luo, Changpei,",X000222431,BOOK,6/29/96,5/19/10,STACKS,0,0,1,1
5170059,2,ALDERMAN,STACKS,PL1201 .L6 1957,1957,Han yu yin yun xue dao lun /,"Luo, Changpei,",X030590745,BOOK,6/24/10,1/1/00,STACKS,0,0,0,1
5393180,2,ALDERMAN,STACKS,PL1201 .L75 2010,2010,Sheng yun xue 16 tang ke = 16 lessons of phonology /,"Lu, Guoping,",X031190260,BOOK,7/29/11,4/23/15,STACKS,1,1,0,1
2848599,2,ALDERMAN,STACKS,PL1201 .M35 1972,1972,Yin yun xue tong lun.,"Ma, Zonghuo,",X030225814,BOOK,11/2/98,9/27/07,STACKS,0,0,0,1
2849652,2,ALDERMAN,STACKS,PL1201 .M6 1962,1962,Yun xue yuan liu /,"Mo, Youzhi,",X030225815,BOOK,11/3/98,9/27/07,STACKS,0,0,0,1
4593671,2,ALDERMAN,STACKS,PL1201 .N54 2006,2006,Heishuicheng chu tu yin yun xue wen xian yan jiu /,"Nie, Hongyin.",X030460163,BOOK,5/24/07,1/1/00,STACKS,0,0,0,1
5006903,2,ALDERMAN,STACKS,PL1201 .P45 1962,1962,Han yu fang yin zi hui.,Beijing da xue. Yu yan xue jiao yan shi.,X030622455,BOOK,9/9/09,1/1/00,STACKS,0,0,0,1
56715,2,ALDERMAN,STACKS,PL1201 .P75 1984,1984,Middle Chinese : a study in historical phonology /,"Pulleyblank, Edwin G. (Edwin George),",X000823829,BOOK,6/28/96,9/27/07,STACKS,0,0,1,1
3678665,2,ALDERMAN,STACKS,PL1201 .S24 2000,2000,The phonology of standard Chinese /,"Duanmu, San.",X004493566,BOOK,1/4/01,4/25/18,CHECKEDOUT,3,2,0,1
4881240,2,ALDERMAN,STACKS,PL1201 .S35 2009,2009,Minimal Old Chinese and later Han Chinese : a companion to Grammata serica recensa /,"Schuessler, Axel,",X030566782,BOOK,6/2/09,2/18/15,CHECKEDOUT,1,0,0,1
5258284,2,ALDERMAN,STACKS,PL1201 .S43 2010,2010,Han yu yu yin shi jiang hua : jiao zheng ben /,"Shao, Rongfen.",X030933799,BOOK,12/16/10,1/1/00,STACKS,0,0,0,1
2645852,2,ALDERMAN,STACKS,PL1201 .S465 1991 v.3,1991,Sheng yun lun cong /,,X004080133,BOOK,1/28/97,9/27/07,STACKS,0,0,0,1
4341555,2,ALDERMAN,STACKS,PL1201 .S47 1966,1966,Qie yun zhi zhang tu : fu jian li /,"Sima, Guang,",X004994857,BOOK,1/23/06,9/27/07,STACKS,0,0,0,1
5077846,2,ALDERMAN,STACKS,PL1201 .S68 2008,2008,"Jin Yuan ci yong yun yu ""Zhong yuan yin yun"" = Jinyuanci yongyun yu Zhongyuanyinyun /","Song, Hongmin,",X030690989,BOOK,1/11/10,1/1/00,STACKS,0,0,0,1
2702118,2,ALDERMAN,STACKS,PL1201 .S75 1997,1997,Studies in Chinese phonology /,,X004105354,BOOK,7/15/97,9/22/09,STACKS,0,0,0,1
5698066,2,ALDERMAN,STACKS,PL1201 .S863 J563 2012,2012,"Jiang cang ben ""Tang yun"" yan jiu /","Xu, Chaodong,",X030847528,BOOK,6/6/12,1/1/00,STACKS,0,0,0,1
2858857,2,ALDERMAN,STACKS,PL1201 .T22,1974,Han yu yin zhuan xue /,"Dai, Huaiqing.",X030225816,BOOK,12/1/98,9/27/07,STACKS,0,0,0,1
698578,2,ALDERMAN,STACKS,PL1201 .T318 1982,1982,Shang gu yin shou ce /,"Tang, Zuofan.",X030333957,BOOK,6/29/96,10/22/07,STACKS,0,0,0,1
2873331,2,ALDERMAN,STACKS,PL1201 .T484 1995,1995,Liu Han dui yin yu Ming dai guan hua yin yan jiu /,"Ding, Feng.",X004236882,BOOK,1/28/99,9/27/07,STACKS,0,0,0,1
676743,2,ALDERMAN,STACKS,PL1201 .T5 1958,1958,Gu Jin Zi Yin Dui Zhao Shou Ce.,"Ding, Shengshu.",X000219796,BOOK,6/29/96,12/4/07,STACKS,0,0,1,1
5189383,2,ALDERMAN,STACKS,PL1201 .T73 T36 2008,2008,"""Xi ru er mu zi"" yuan liu bian xi = On the formation and effect of an audio-visual aid to western scholars /","Tan, Huiying.",X031229642,BOOK,8/4/10,1/1/00,STACKS,0,0,0,1
4353822,2,ALDERMAN,STACKS,PL1201 .U58 1997,1997,Dictionary of old and middle Chinese : Bernhard Karlgren's Grammata serica recensa alphabetically arranged /,"Ulving, Tor.",X004911752,BOOK,3/10/06,9/27/07,STACKS,0,0,2,1
5743823,2,ALDERMAN,STACKS,PL1201 .W268 2012,2012,"Shang gu Han yu yuan yin yin wei yan jiu : jian lun ""Qie yun"" de yuan yin yin wei xi tong = Shanggu Hanyu yuanyin yinwei yanjiu /","Wang, Weimin.",X031622595,BOOK,8/25/12,1/1/00,STACKS,0,0,0,1
2876862,2,ALDERMAN,STACKS,PL1201 .W278,1955,Guangdong ren zen yang xue xi pu tong hua /,"Wang, Li,",X004262511,BOOK,2/8/99,9/27/07,STACKS,0,0,0,1
698049,2,ALDERMAN,STACKS,PL1201 .W29 1980,1980,Han yu yin yun /,"Wang, Li,",X000821403,BOOK,6/29/96,9/27/07,STACKS,0,0,0,1
2700020,2,ALDERMAN,STACKS,PL1201 .W32 1985,1985,Han yu yu yin shi /,"Wang, Li,",X001220880,BOOK,9/27/07,9/27/07,STACKS,0,0,0,1
2700020,2,ALDERMAN,STACKS,PL1201 .W32 1985,1985,Han yu yu yin shi /,"Wang, Li,",X004028482,BOOK,7/3/97,1/1/00,STACKS,0,0,0,1
688235,2,ALDERMAN,STACKS,PL1201 .W35 1963,1963,Research on Mandarin phonology /,Ohio State University. Research Foundation.,X000833671,BOOK,6/29/96,9/27/07,STACKS,0,0,2,1
5211765,2,ALDERMAN,STACKS,PL1201 .W355 1966,1966,Gu Yun pu /,"Wang, Niansun,",X030382821,BOOK,9/7/10,1/1/00,STACKS,0,0,0,1
4327761,2,ALDERMAN,STACKS,PL1201 .W8 1966 v.1,1966,Yun bu /,"Wu, Yu,",X004953940,BOOK,11/15/05,9/27/07,STACKS,0,0,0,1
4327761,2,ALDERMAN,STACKS,PL1201 .W8 1966 v.2,1966,Yun bu /,"Wu, Yu,",X004953939,BOOK,11/15/05,9/27/07,STACKS,0,0,0,1
4341551,2,ALDERMAN,STACKS,PL1201 .X53 1966,1966,Shi gu yin biao er shi weh bu ji shuo.,"Xia, Xin,",X004994861,BOOK,1/23/06,9/27/07,STACKS,0,0,0,1
5393135,2,ALDERMAN,STACKS,PL1201 .X544 2011,2011,Qin Han shi qi Chu fang yan qu wen xian de yu yin yan jiu /,"Xie, Rong'e.",X031196344,BOOK,7/29/11,1/1/00,STACKS,0,0,0,1
4363489,2,ALDERMAN,STACKS,PL1201 .Y323 2005,2005,Han yu yin yun xue jiang yi = An introduction to Chinese phonology /,"Yang, Jianqiao,",X030089240,BOOK,4/25/06,6/26/18,CHECKEDOUT,1,86,0,1
4342483,2,ALDERMAN,STACKS,PL1201 .Y75 2002,2002,Zi ci bian xi ci dian.,"Yu, Heping.",X030011339,BOOK,1/26/06,9/27/07,STACKS,0,0,0,1
2888519,2,ALDERMAN,STACKS,PL1201 .Y775 1985,1985,Shang gu yin xi yan jiu /,"Yu, Naiyong.",X004335233,BOOK,3/8/99,9/27/07,STACKS,0,0,0,1
4341994,2,ALDERMAN,STACKS,PL1201 .Z25 1965 v.1,1965,Zhongguo yin yun xue shi /,"Zhang, Shilu,",X004994876,BOOK,1/24/06,9/27/07,STACKS,0,0,0,1
4341994,2,ALDERMAN,STACKS,PL1201 .Z25 1965 v.2,1965,Zhongguo yin yun xue shi /,"Zhang, Shilu,",X004994864,BOOK,1/24/06,9/27/07,STACKS,0,0,0,1
4363490,2,ALDERMAN,STACKS,PL1201 .Z425 2005,2005,Ming Qing Shandong yun shu yan jiu /,"Zhang, Hongkui.",X030121834,BOOK,4/25/06,9/27/07,STACKS,0,0,0,1
5189234,2,ALDERMAN,STACKS,PL1201 .Z4365 2009,2009,Shuang hong xuan za zhu /,"Zhang, Shunhui.",X030831639,BOOK,8/4/10,1/1/00,STACKS,0,0,0,1
5744060,2,ALDERMAN,STACKS,PL1201 .Z442 2012,2012,Han yu yin yun yu fang yan yan jiu /,"Zheng, Wei.",X031622585,BOOK,8/25/12,1/1/00,STACKS,0,0,0,1
5237958,2,ALDERMAN,STACKS,PL1201 .Z47339 2010,2010,Zhongguo yu yin xue shi /,,X030933717,BOOK,10/22/10,1/1/00,STACKS,0,0,0,1
4616564,2,ALDERMAN,STACKS,PL1201 .Z476 2006,2006,Xin zhu Han yu yu yin shi /,"Zhou, Zuxiang.",X030358301,BOOK,2/26/08,1/1/00,STACKS,0,0,0,1
4381700,2,ALDERMAN,STACKS,PL1201 .Z49 2006,2006,Yin yun yan jiu /,"Zhu, Xiaonong.",X030216970,BOOK,7/20/06,9/27/07,STACKS,0,0,1,1
4470940,2,ALDERMAN,STACKS,PL1202 .G36 2006,2005,Han yu shi yu liao xue  /,"Gao, Xiaofang.",X030246885,BOOK,2/28/07,9/27/07,STACKS,0,0,0,1
5079093,2,ALDERMAN,STACKS,PL1205 .B45 2008,2008,Beijing yu yan da xue Han yu yan wen zi xue lun cong.,,X030615444,BOOK,1/11/10,1/1/00,STACKS,0,0,0,1
2702156,2,ALDERMAN,STACKS,PL1205 .C8 1930,1937,Zhu yin fu hao chuan xi xiao ce /,,X030225884,BOOK,7/16/97,3/9/18,STACKS,0,0,0,1
1043161,2,ALDERMAN,STACKS,PL1205 .D6 1972,1970,An outline of Mandarin phonetics,"Dow, Francis D. M.",X000390419,BOOK,6/29/96,9/27/07,STACKS,0,0,0,1
3969455,2,ALDERMAN,STACKS,PL1205 .E7 2003,2003,Er shi shi ji xian dai Han yu yu yin lun zhu suo yin he zhi yao /,,X004843078,BOOK,9/23/03,9/27/07,STACKS,0,0,0,1
