Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PC 005145 .D5  1990,PC5145 .D5 1990,1837595,ALDERMAN,1990,Dicionário gramatical de verbos do português contemporâneo do Brasil /,,X001925192,STACKS,STACKS,BOOK,6/30/96,11/11/16,1,106,1,110,1
PC 005145 .N6  1986,PC5145 .N6 1986,1290709,ALDERMAN,1986,Dicionário de verbos portugueses conjugados /,"Nogueira, Rodrigo de Sá,",X001433269,STACKS,STACKS,BOOK,6/30/96,11/6/09,0,0,2,8,1
PC 005145 .R4  1974,PC5145 .R4 1974,346552,ALDERMAN,1974,Breviário da conjugação dos verbos da língua portuguêsa /,"Reis, Otelo.",X000045301,STACKS,STACKS,BOOK,6/28/96,11/6/09,0,0,0,0,1
PC 005145 .S5  1985,PC5145 .S5 1985,766603,ALDERMAN,1985,Dicionário dos verbos portugueses : conjugação e regências /,"Silva, Emídio.",X001216347,STACKS,STACKS,BOOK,6/29/96,10/4/09,0,0,5,5,1
PC 005151 .A98  1980,PC5151 .A98 1980,251828,ALDERMAN,1980,Passive sentences in English and Portuguese /,"Azevedo, Milton Mariano,",X000140011,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 005151 .A98  1980,PC5151 .A98 1980,251828,ALDERMAN,1980,Passive sentences in English and Portuguese /,"Azevedo, Milton Mariano,",X000152452,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 005160 .T7  1985,PC5160 .T7 1985,1378773,ALDERMAN,1985,O aspecto verbal no português : a categoria e sua expressão /,"Travaglia, Luiz Carlos.",X001617353,STACKS,STACKS,BOOK,6/30/96,11/6/09,0,0,0,1,1
PC 005162 .M3,PC5162 .M3,242108,ALDERMAN,1968,O infinito flexionado português (estudo histórico-descritivo),"Maurer Junior, Theodoro Henrique.",X001153588,STACKS,STACKS,BOOK,6/28/96,5/11/09,0,0,2,7,1
PC 005162 .P47,PC5162 .P47,1872169,ALDERMAN,1977,Gramática do infinitivo português /,"Perini, Mário A.",X001866952,STACKS,STACKS,BOOK,6/30/96,3/10/03,0,0,0,2,1
PC 005162 .V354  2013,PC5162 .V354 2013,6134015,ALDERMAN,2013,Infinitivo y sujeto en portugués y español : un estudio empírico de los infinitivos adverbiales con sujeto explicito /,"Vanderschueren, Clara.",X031583539,STACKS,STACKS,BOOK,9/17/13,5/4/14,1,0,0,1,1
PC 005181 .G85  1987,PC5181 .G85 1987,1246333,ALDERMAN,1987,Texto e argumentação : um estudo de conjunções do português /,"Guimarães, Eduardo,",X001337202,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PC 005191 .N4  B8,PC5191 .N4 B8,359818,ALDERMAN,1977,Die Negation im Werk von Padre António Vieira /,"Burgarth, Jürgen.",X000064442,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 005191 .N4  U6,PC5191 .N4 U6,200815,ALDERMAN,1979,"A negação em português : com referências a outras línguas, especialmente o espanhol /","Uppendahl, Klaus.",X000442257,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 005201 .L6  1986,PC5201 .L6 1986,1761207,ALDERMAN,1986,Sintaxe gerativa do Português : da teoria padrão à teoria da regência e ligação /,"Lobato, Lúcia Maria Pinheiro.",X002126555,STACKS,STACKS,BOOK,6/30/96,11/6/09,0,0,0,1,1
PC 005201 .M36  1984,PC5201 .M36 1984,44652,ALDERMAN,1984,Padrões estruturais da língua portuguesa /,"Manna, Aloizio.",X000925023,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,0,2
PC 005201 .P67  2000,PC5201 .P67 2000,3577312,ALDERMAN,2000,Portuguese syntax : new comparative studies /,,X004423846,STACKS,STACKS,BOOK,10/31/00,3/10/03,0,0,0,5,2
