Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DC 000101.3 .G835  2002,DC101.3 .G835 2002,3826575,ALDERMAN,2002,L'opinion publique à la fin du moyen âge : d'après la chronique de Charles VI du religieux de Saint-Denis /,"Guenée, Bernard.",X004620271,STACKS,STACKS,BOOK,4/1/02,9/14/07,0,0,0,2,1
DC 000101.3 .G84  1999,DC101.3 .G84 1999,3588788,ALDERMAN,1999,Un roi et son historien : vingt études sur le règne de Charles VI et la Chronique du religieux de Saint-Denis /,"Guenée, Bernard.",X004503609,STACKS,CHECKEDOUT,BOOK,12/11/00,5/26/15,1,0,0,44,1
DC 000101.3 .M4,DC101.3 .M4,380716,ALDERMAN,1975,Letter to King Richard II : A plea made in 1395 for peace between England and France /,"Mézières, Philippe de,",X000288319,STACKS,CHECKEDOUT,BOOK,6/28/96,12/13/17,2,20,0,24,1
DC 000101.3 .N4,DC101.3 .N4,486917,ALDERMAN,1924,"The English conquest of Normandy, 1416-1424, a study in fifteenth century warfare,","Newhall, Richard Ager.",X000699045,STACKS,STACKS,BOOK,6/29/96,5/11/11,0,0,0,5,1
DC 000101.3 .N4,DC101.3 .N4,486917,ALDERMAN,1924,"The English conquest of Normandy, 1416-1424, a study in fifteenth century warfare,","Newhall, Richard Ager.",X000699046,STACKS,STACKS,BOOK,6/29/96,10/30/17,0,0,0,2,1
DC 000101.3 .N5  1984,DC101.3 .N5 1984,77258,ALDERMAN,1984,"Les  finances du duc de Bourgogne, Philippe le Hardi (1384-1404) : économie et politique /","Nieuwenhuysen, A. van (Andrée)",X001039118,STACKS,STACKS,BOOK,6/28/96,3/1/11,0,0,1,3,1
DC 000101.3 .P35,DC101.3 .P35,569521,ALDERMAN,1972,"England, France and Christendom, 1377-99","Palmer, J. J. N. (John Joseph Norman)",X001098235,STACKS,STACKS,BOOK,6/29/96,5/2/18,2,6,3,15,1
DC 000101.5 .A2  A35  2000,DC101.5 .A2 A35 2000,3552252,ALDERMAN,2000,"Agincourt, 1415 : Henry V, Sir Thomas Erpingham and the triumph of the English archers /",,X004469000,STACKS,CHECKEDOUT,BOOK,7/24/00,7/25/03,0,0,0,6,1
DC 000101.5 .A2  C869  2005,DC101.5 .A2 C869 2005,4287793,ALDERMAN,2005,Agincourt : a new history /,"Curry, Anne.",X004907330,STACKS,CHECKEDOUT,BOOK,10/13/05,11/6/13,0,6,0,15,1
DC 000101.5 .A2  C87  2000,DC101.5 .A2 C87 2000,3591033,ALDERMAN,2000,The battle of Agincourt : sources and interpretations /,"Curry, Anne.",X004500602,STACKS,CHECKEDOUT,BOOK,12/18/00,11/6/13,0,7,1,17,1
