"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"16018",358994,"X001731850","PA6666 .A1 1581a","ALDERMAN","His tenne tragedies /","Seneca, Lucius Annaeus,",1969,"6/28/96","7/22/04",0,0,0,1,"2",FALSE,0
"16019",1010617,"X002125921","PA6666 .A1 1902","ALDERMAN","The ten tragedies of Seneca,","Seneca, Lucius Annaeus,",1902,"6/29/96","5/19/11",2,0,0,1,"2",FALSE,0
"16020",1010618,"X000209413","PA6666 .A1 1966 V.1-2","ALDERMAN","Seneca, his tenne tragedies,","Seneca, Lucius Annaeus,",1966,"6/29/96","5/11/14",4,1,1,1,"2",TRUE,0
"16021",415051,"X001023993","PA6666 .A1 1967","ALDERMAN","The tenne tragedies of Seneca.","Seneca, Lucius Annaeus,",1967,"6/28/96","6/10/04",0,0,0,1,"2",FALSE,0
"16022",1010619,"X000314277","PA6666 .A1 1969","ALDERMAN","Seneca's tragedies.","Seneca, Lucius Annaeus,",1969,"6/29/96","10/21/04",1,0,0,1,"2",FALSE,0
"16023",400246,"X001111009","PA6666 .A1 1976","ALDERMAN","The tragedies of L. Annaeus Seneca, the philosopher /","Seneca, Lucius Annaeus,",1976,"6/28/96","11/20/01",0,0,0,1,"2",FALSE,0
"16024",772307,"X001159629","PA6666 .A1 1986","ALDERMAN","Three tragedies /","Seneca, Lucius Annaeus,",1986,"6/29/96","6/20/13",3,2,2,1,"2 14",FALSE,0
"16025",5101359,"X030609931","PA6666 .A1 2010","ALDERMAN","Six tragedies /","Seneca, Lucius Annaeus,",2010,"3/12/10","4/20/16",0,3,8,1,"2",FALSE,0
"16026",7262819,"X031818085","PA6666 .A1 2017 v.1","ALDERMAN","The complete tragedies /","Seneca, Lucius Annaeus,",2017,"11/2/17","1/9/18",0,1,0,2,"2",TRUE,0
"16027",3886863,"X004631492","PA6666 .A1 F58 2002","ALDERMAN","Hercules ; Trojan women ; Phoenician women ; Media ; Phaedra /","Seneca, Lucius Annaeus,",2002,"9/24/02","6/18/18",2,1,22,1,"2",FALSE,0
"16028",4041950,"X004773374","PA6666 .A1 F58 2004","ALDERMAN","Oedipus; Agamemnon; Thyestes; Hercules on Oeta; Octavia /","Seneca, Lucius Annaeus,",2004,"7/6/04","4/26/18",1,2,0,1,"2",FALSE,0
"16029",473647,"X000004157","PA6666 .A2 W3 1966","CLEMONS","Four tragedies and Octavia.","Seneca, Lucius Annaeus,",1966,"6/29/96","6/20/08",0,0,0,1,"3",FALSE,0
"16030",5293117,"X030816906","PA6666 .O5 B69 2011","ALDERMAN","Oedipus /","Seneca, Lucius Annaeus,",2011,"3/2/11","3/2/16",1,2,0,1,"2",FALSE,0
"16031",779587,"X001278863","PA6666 .P5 B69 1987","ALDERMAN","Seneca's Phaedra : introduction, text, translation and notes /","Seneca, Lucius Annaeus,",1987,"6/29/96","10/8/13",5,1,0,1,"2",FALSE,0
"16032",2395164,"X032014982","PA6666 .T5 C48 1995","ALDERMAN","Thyestes /","Seneca, Lucius Annaeus,",1995,"7/1/96","7/27/04",0,0,0,1,"2",FALSE,0
"16033",421209,"X000713670","PA6667 .A9 W3","ALDERMAN","L'Apocoloquintose du divin Claude.","Seneca, Lucius Annaeus,",1934,"6/29/96","9/15/04",0,0,0,1,"2",FALSE,0
"16034",4289695,"X004893128","PA6667 .D3 C45 2005","ALDERMAN","De la clémence /","Seneca, Lucius Annaeus,",2005,"6/29/05","1/1/00",3,0,0,1,"2",FALSE,0
"16035",347656,"X001152304","PA6667 .D3 P7 1921","ALDERMAN","De la clémence /","Seneca, Lucius Annaeus,",1921,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,0
"16036",421073,"X001542314","PA6667.D8 B65 1923 V.1","ALDERMAN","Dialogues ...","Seneca, Lucius Annaeus,",1923,"6/29/96","5/25/11",3,0,0,4,"2",TRUE,0
"16037",358743,"X000437836","PA6668 .A1 1924 v.1","ALDERMAN","Tragédies.","Seneca, Lucius Annaeus,",1924,"6/28/96","1/24/08",1,0,0,2,"2",TRUE,0
"16038",2758177,"X004150949","PA6668 .A1 C49 1996 t.1","ALDERMAN","Tragédies /","Seneca, Lucius Annaeus,",1996,"1/19/98","10/26/09",4,0,0,3,"2",FALSE,0
"16039",2333033,"X002574367","PA6669 .A9 L85 1994","ALDERMAN","Apocolocyntosis divi Claudii /","Seneca, Lucius Annaeus,",1994,"7/1/96","10/18/10",2,0,0,1,"2",FALSE,0
"16040",335164,"X000719260","PA6671 .D5 S47 1974","ALDERMAN","I tre libri dell'Ira  /","Seneca, Lucius Annaeus,",1974,"6/28/96","10/26/09",0,0,0,1,"2",FALSE,0
"16041",121606,"X000886344","PA6671 .E6 B4","ALDERMAN","Lettere a Lucilio : libro XV, le lettere 94 e 95 /","Seneca, Lucius Annaeus,",1979,"6/28/96","5/11/14",1,1,3,1,"2",FALSE,0
"16042",415722,"X000886368","PA6671 .E6 S3","ALDERMAN","Lettere a Lucilio : libro primo (epp. I-XII) /","Seneca, Lucius Annaeus,",1975,"6/28/96","5/11/14",0,1,3,1,"2",FALSE,0
"16043",1620541,"X001683057","PA6672 .H4 1979","ALDERMAN","Il furore di Ercole /","Seneca, Lucius Annaeus,",1979,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"16044",711621,"X001205505","PA6673 .S7 1983","ALDERMAN","Las cartas de Seneca a Lucilio /","Seneca, Lucius Annaeus,",1983,"6/29/96","10/26/09",0,0,0,1,"2",FALSE,0
"16045",145424,"X000599708","PA6673 .S9 T513 1982","ALDERMAN","Thyestes /","Seneca, Lucius Annaeus,",1982,"6/28/96","3/7/13",0,1,0,1,"2",FALSE,0
"16046",212549,"X000217482","PA6675 .A2 C65 1980","ALDERMAN","A commentary on Seneca's Apocolocyntosis divi Claudii, or Glose in librum de ludo Claudii Annei Senece /","",1980,"6/28/96","8/30/10",1,0,0,1,"2",FALSE,0
"16047",1605853,"X001664808","PA6675 .A75 1989","ALDERMAN","Sapientiae facies : étude sur les images de Sénèque /","Armisen-Marchetti, Mireille.",1989,"6/30/96","5/11/14",1,1,3,1,"2",FALSE,0
"16048",1229234,"X001432356","PA6675 .B445 1986","ALDERMAN","Studi senecani e altri scritti /","Bellincioni, Maria.",1986,"6/30/96","1/1/00",1,0,0,1,"2",FALSE,0
"16049",44317,"X001041981","PA6675 .B45 1984","ALDERMAN","Potere ed etica in Seneca : clementia e voluntas amica /","Bellincioni, Maria.",1984,"6/28/96","1/1/00",1,0,0,1,"2",FALSE,0
"16050",76457,"X001063293","PA6675 .B48 1985","ALDERMAN","Seneca's daggered stylus : political code in the tragedies /","Bishop, J. David.",1985,"6/28/96","6/27/11",1,0,0,1,"2",FALSE,0
"16051",28621,"X000964431","PA6675 .B518 1983","ALDERMAN","Séneca en España : investigaciones sobre la recepción de Séneca en España desde el siglo XIII hasta el siglo XVII /","Blüher, Karl Alfred.",1983,"6/28/96","12/13/06",0,0,0,1,"2",FALSE,0
"16052",4333151,"X004995778","PA6675 .B52 2005","ALDERMAN","Bibliografia senecana del XX secolo /","",2005,"12/10/05","5/11/14",0,1,3,1,"2",FALSE,0
"16053",6175895,"X031580052","PA6675 .B75 2013","ALDERMAN","Brill's companion to Seneca, philosopher and dramatist /","",2013,"1/2/14","4/3/15",1,2,0,1,"2",FALSE,0
"16054",6710995,"X031782852","PA6675 .B754 2016","ALDERMAN","Brill's companion to the reception of Senecan tragedy : scholarly, theatrical and literary receptions /","",2016,"4/1/16","4/12/18",0,3,1,1,"2",FALSE,0
"16055",6531687,"X031705898","PA6675 .C36 2015","ALDERMAN","The Cambridge companion to Seneca /","",2015,"4/16/15","4/12/18",0,2,0,1,"2",FALSE,0
"16056",3578000,"X004503889","PA6675 .D44 1999","ALDERMAN","Tra filosofia e poesia : studi su Seneca e dintorni /","Degl'Innocenti Pierini, Rita.",1999,"11/2/00","1/1/00",0,0,0,1,"2",FALSE,0
"16057",472752,"X000827887","PA6675 .D58 1974","ALDERMAN","Seneca und die Dichtung /","Dingel, Joachim,",1974,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16058",2147066,"X002315127","PA6675 .E87 1993","ALDERMAN","Essays on Seneca /","",1993,"7/1/96","4/28/15",2,3,4,1,"2",FALSE,0
"16059",2088531,"X002232446","PA6675 .F73 1991","ALDERMAN","La congiura del vivere : Seneca ed il nostro tempo /","Frau, Aventino.",1991,"6/30/96","10/26/09",0,0,0,1,"2",FALSE,0
"16060",2742247,"X004028504","PA6675 .F84 1997","ALDERMAN","Seneca und Kaiser Nero : eine Biographie /","Fuhrmann, Manfred.",1997,"12/8/97","3/9/01",0,0,0,1,"2",FALSE,0
"16061",44278,"X001152306","PA6675 .G7","ALDERMAN","Seneca: De tranquillitate animi.","Grilli, Alberto.",1969,"6/28/96","10/26/09",0,0,0,1,"2",FALSE,0
"16062",368663,"X000292908","PA6675 .G75","ALDERMAN","Seneca : a philosopher in politics /","Griffin, Miriam T. (Miriam Tamara)",1976,"6/28/96","11/8/17",4,6,9,1,"2",FALSE,0
"16063",1010621,"X000266803","PA6675 .G8 1922","ALDERMAN","Seneca the philosopher, and his modern message,","Gummere, Richard M. (Richard Mott),",1922,"6/29/96","10/14/16",0,1,0,1,"2",FALSE,0
"16064",1010622,"X004215213","PA6675 .H3 1969","ALDERMAN","Seneca und die griechisch-römische Tradition der Seelenleitung.","Hadot, Ilsetraut.",1969,"6/29/96","5/11/14",1,1,3,1,"2",FALSE,0
"16065",89978,"X000897449","PA6675 .H4 1985","ALDERMAN","The mask of power : Seneca's tragedies and imperial Rome /","Henry, Denis.",1985,"6/28/96","4/28/14",0,1,1,1,"2",FALSE,0
"16066",206946,"X002650252","PA6675 .H43","ALDERMAN","Sénèque et les premiers chrétiens /","Herrmann, Léon.",1979,"6/28/96","3/31/03",0,0,0,1,"2",FALSE,0
"16067",359758,"X000150989","PA6675 .J58","ALDERMAN","Seneka /","Joachimowicz, Leon.",1977,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,0
"16068",1367314,"X000936326","PA6675 .L8 1922 1959 ed.","ALDERMAN","Seneca and Elizabethan tragedy.","Lucas, F. L. (Frank Laurence),",1959,"6/30/96","5/8/12",1,1,1,1,"2",FALSE,0
"16069",4370434,"X030086553","PA6675 .M29 2005","ALDERMAN","Figli benefattori, figli straordinari : rappresentazioni senecane dell'essere figlio /","Marchese, Rosa Rita.",2005,"6/1/06","1/1/00",0,0,0,1,"2",FALSE,0
"16070",1359111,"X001595362","PA6675 .M3 1988","ALDERMAN","Lettori cristiani di Seneca filosofo /","Mastandrea, Paolo.",1988,"6/30/96","5/11/14",0,1,3,1,"2",FALSE,0
"16071",705454,"X001206001","PA6675 .M33 1984","ALDERMAN","El ideal del sabio en Séneca /","Martín Sánchez, Maria A. Fátima.",1984,"6/29/96","10/26/09",0,0,0,1,"2",FALSE,0
"16072",1848440,"X001982802","PA6675 .M355 1991","ALDERMAN","Seneca : Leben und Werk /","Maurach, Gregor.",1991,"6/30/96","5/11/14",1,1,3,1,"2",FALSE,0
"16073",1010623,"X000266802","PA6675 .M6","ALDERMAN","Seneca.","Motto, Anna Lydia.",1973,"6/29/96","9/7/12",5,1,0,1,"2",FALSE,0
"16074",705419,"X001184181","PA6675 .P37 1985","ALDERMAN","Seneca, : in difesa del filosofo /","Pascal, Carlo,",1985,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16075",3578922,"X004545285","PA6675 .P68 1998","ALDERMAN","Il potere e il furore : giornate di studio sulla tragedia di Seneca : Brescia, febbraio 1998 /","Giornate di studio sulla tragedia di Seneca",2000,"11/6/00","1/1/00",0,0,0,1,"2",FALSE,0
"16076",398927,"X000445847","PA6675 .R63","ALDERMAN","Seneca; eine Gesamtdarstellung /","Rozelaar, Marc.",1976,"6/28/96","5/11/14",1,1,3,1,"2",FALSE,0
"16077",348665,"X000051101","PA6675 .S25","ALDERMAN","Il pensiero religioso di Seneca e l'ambiente ebraico e cristiano /","Scarpat, Giuseppe.",1977,"6/28/96","5/11/14",0,1,3,1,"2",FALSE,0
"16078",6640909,"X031713907","PA6675 .S275 2015","ALDERMAN","Sapientia contemptrix doloris : le corps souffrant dans l'oeuvre philosophique de Sénèque /","Courtil, Jean-Christophe.",2015,"11/18/15","1/1/00",0,0,0,1,"2",FALSE,0
"16079",3787587,"X004595622","PA6675 .S3 2001","ALDERMAN","Scienza, cultura, morale in Seneca : atti del Convegno di Monte Sant'Angelo, 27-30 settembre 1999 /","Convegno di Monte Sant'Angelo",2001,"10/29/01","1/1/00",0,0,0,1,"2",FALSE,0
"16080",2808888,"X004247189","PA6675 .S35 1997","ALDERMAN","Seneca e i giovani /","",1997,"6/29/98","10/26/09",0,0,0,1,"2",FALSE,0
"16081",4032114,"X004825801","PA6675 .S363 2003","ALDERMAN","Seneca uomo politico e l'età di Claudio e di Nerone : atti del Convegno internazionale : Capri 25-27 marzo 1999 /","",2003,"5/19/04","5/11/14",0,1,1,1,"2",FALSE,0
"16082",635874,"X000372950","PA6675 .S38 1966","ALDERMAN","Estudios sobre Séneca; ponencias y comunicaciones.","Semanas Españolas de Filosofía",1966,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16083",1985862,"X002150977","PA6675 .S39 1991","ALDERMAN","Seneca e la cultura /","",1991,"6/30/96","5/11/14",0,1,2,1,"2",FALSE,0
"16084",1010624,"X000613184","PA6675 .S4","ALDERMAN","Teorie artistiche e letterarie di L. Anneo Seneca.","Setaioli, Aldo.",1971,"6/29/96","10/26/09",0,0,0,1,"2",FALSE,0
