"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"12958",1070751,"X032039116","PR4722 .I8 1965","ALDERMAN","Italian letters;","Godwin, William,",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12959",682515,"682515-1001","PR4773 .S3 1965","ALDERMAN","The essential Hazlitt,","Sastri, P. S.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12960",1070922,"X000619493","PR4823 .K4","ALDERMAN","Richard Jefferies; a critical study,","Keith, W. J.",1965,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12961",1070923,"X000673926","PR4823 .L6 1965","ALDERMAN","Richard Jefferies man of the fields: a biography and letters,","Looker, Samuel J. (Samuel Joseph),",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12962",755152,"X032040412","PR5262 .Q9 1965","ALDERMAN","Ruskin's backgrounds, friendships, and interests as reflected in the F.J. Sharp collection.","Paul Klapper Library.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12963",1073680,"1073680-1001","PR5361 .L4","ALDERMAN","Bernard Shaw's ready-reckoner,","Shaw, Bernard,",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12964",1073710,"X032044804","PR5363 .G37 P5","ALDERMAN","Shaw's Geneva; a critical study of the evolution of the text in relation to Shaw's political thought and dramatic practice.","Pilecki, Gerard Anthony.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12965",610665,"610665-3001","PR5366 .K28","ALDERMAN","G. B. Shaw; a collection of critical essays,","Kaufmann, R. J. (Ralph James),",1965,"6/29/96","1/1/00",0,0,0,1,"2 14",FALSE,"0",0
"12966",1073758,"X001045530","PR5366 .O3 1965","ALDERMAN","Shaw and the charlatan genius; a memoir.","O'Donovan, John,",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12967",1073793,"X002690964","PR5368 .M6 C6","ALDERMAN","The serpent's eye; Shaw and the cinema","Costello, Donald P.",1965,"6/29/96","1/1/00",0,0,0,1,"2",TRUE,"0",0
"12968",1073794,"X000680939","PR5368 .R4 A2 1965","ALDERMAN","Shaw and Christianity","Abbott, Anthony S.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12969",451304,"X000226558","PR5431 .R5 1965","ALDERMAN","Shelley; a collection of critical essays.","Ridenour, George M.,",1965,"6/29/96","1/1/00",0,0,0,2,"2 3",FALSE,"0",0
"12970",570200,"570200-1001","PR5514 .P4 1965","CLEMONS","The crowns of Apollo: Swinburne's principles of literature and art: a study in Victorian criticism and aesthetics","Peters, Robert L.,",1965,"6/29/96","1/1/00",0,0,0,1,"3",FALSE,"0",0
"12971",813811,"X000494707","PR5533 .J6","ALDERMAN","John Millington Synge.","Johnston, Denis,",1965,"6/29/96","1/1/00",0,0,0,2,"2 14",FALSE,"0",0
"12972",550923,"X000069426","PR5650 .A1 1965","ALDERMAN","A renegade poet, and other essays.","Thompson, Francis,",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12973",1080141,"X000502933","PR5881 .W55 1965","ALDERMAN","Wordsworth","Woodring, Carl,",1965,"6/29/96","1/1/00",1,0,0,2,"2",FALSE,"0",0
"12974",1080149,"X001037414","PR5882 .L5 1965","ALDERMAN","The early life of William Wordsowrth, 1770-1798;","Legouis, Emile,",1965,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12975",1080165,"X000416198","PR5888 .B43","ALDERMAN","William Wordworth of Dove Cottage: a study of the poet's most productive decade, June 1797--May 1807.","Beatty, Frederika,",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12976",755217,"X000422127","PR5906 .G85 1965","ALDERMAN","William Butler Yeats: essays in tribute.","Gwynn, Stephen Lucius,",1965,"6/29/96","1/1/00",2,0,0,2,"2",FALSE,"0",0
"12977",1080289,"X000180815","PR5907 .B7","ALDERMAN","Yeats at work","Bradford, Curtis Baker,",1965,"6/29/96","1/1/00",0,0,0,1,"2 10",FALSE,"0",0
"12978",1080290,"X000180814","PR5907 .B8","ALDERMAN","Yeats's verse-plays; the revisions, 1900-1910","Bushrui, Suheil B.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12979",1080291,"X000180813","PR5907 .C5 1965","ALDERMAN","W. B. Yeats and the theatre of desolate reality","Clark, David R.",1965,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12980",1080292,"X000180812","PR5907 .C5 1965a","ALDERMAN","W. B. Yeats and the theatre of desolate reality","Clark, David R.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12981",1080313,"1080313-1001","PR5907 .R3","ALDERMAN","W. B. Yeats, a critical introduction.","Rajan, Balachandra.",1965,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
