"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8513",1038655,"X000592353","PL2781 .A54 A6 1975","ALDERMAN","Liang Shiqiu zi xuan ji.","Liang, Shiqiu,",1975,"6/29/96","7/8/11",0,0,0,1,"2",FALSE,"0",0
"8514",4696073,"X030385120","PL2687 .L8 Z9 2002","ALDERMAN","Lu You ping zhuan /","Qiu, Minggao,",2002,"3/10/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8515",4696068,"X030385139","PL2687 .Y3 Z8 2002","ALDERMAN","Yang Wanli ping zhuan /","Zhang, Ruijun,",2002,"3/10/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8516",4819314,"X030519428","PL2463 .Z6 S8 1991","ALDERMAN","Si shu bai hua zhu jie.","",1991,"2/10/09","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8517",4647092,"X030356268","PL2464 .Z6 Z4578 2006","ALDERMAN","""Zhou yi chan jie"" yan jiu /","Xie, Jinliang,",2006,"11/7/07","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8518",2927318,"X004340841","PL2264 .M35 1993","ALDERMAN","Mao Zedong du wen shi gu ji pi yu ji /","Mao, Zedong,",1993,"7/14/99","10/4/07",0,0,0,1,"2",FALSE,"0",0
"8519",4695091,"X030385030","PL2705 .A59 Z94 2002","ALDERMAN","Zhao Yi ping zhuan /","Zhao, Xingqin.",2002,"3/5/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8520",4695089,"X030385029","PL2735 .A5 Z8 2002","ALDERMAN","Yuan Mei ping zhuan /","Wang, Yingzhi.",2002,"3/5/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8521",4621706,"X030507994","PL2332 .Z45 2008","ALDERMAN","Zhongguo xian dai shi dao du, 1917-1937 = Zhongguo xiandaishi daodu, 1917-1937 /","",2008,"9/3/07","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8522",2331499,"X002539483","PL1241 .Z483 1992","ALDERMAN","The strategies of politeness in the Chinese language /","Zhan, Kaidi.",1992,"7/1/96","4/28/10",2,0,0,1,"2",FALSE,"0",0
"8523",4818616,"X030570876","PL2321 .W362 1991","ALDERMAN","Tang dai di qi yan gu shi /","Wang, Xijiu,",1991,"2/5/09","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8524",699037,"X000883924","PL2755 .T9 A6 1979","ALDERMAN","Zhu Ziqing hsuan ji.","Zhu, Ziqing,",1979,"6/29/96","3/24/11",2,0,0,2,"2",FALSE,"0",0
"8525",4694272,"X030570966","PL2674 .J53 2002","ALDERMAN","Bai Juyi ping zhuan : fu Yuan Zhen ping zhuan /","Jian, Changchun.",2002,"3/3/08","1/1/00",1,0,0,1,"2",FALSE,"0",0
"8526",2890784,"X004340449","PL1103 .C3727 1997","ALDERMAN","Zhang Zhigong Han yu yu fa jiao xue lun zhu xuan = Zhang zhi gong han yu yu fa jiao xue lun zhu xuan /","Zhang, Zhigong.",1997,"3/15/99","9/26/07",0,0,0,1,"2",FALSE,"0",0
"8527",432656,"X000601191","PL2663 .C3 Z68 1977","ALDERMAN","Two Chinese poets : vignettes of Han life and thought /","Hughes, E. R. (Ernest Richard),",1977,"6/29/96","5/9/11",2,0,0,1,"2 3",FALSE,"0",0
