"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"11","PZ 000010 .B742  RD 1922","PZ10 .B742 Rd 1922",1113521,"ALDERMAN",1922,"The radio boys on the Mexican border /","Breckenridge, Gerald,","X000462660","STACKS","STACKS","BOOK","6/29/96","6/12/15",0,0,0,2,1,1438,2,0.000239234449760766,0.271267596919643,0.907042410950973,-0.320355200427118,-0.253047131285017,-0.655444668384829,-0.394020811833557,0.770504283508029,0.897314525675029,0.300856934912076,1836,0.699143065087924,"0",0,2,0,"0",1,TRUE
"12","PZ 000010 .B89  LI 1962","PZ10 .B89 Li 1962",804465,"ALDERMAN",1962,"Life story.","Burton, Virginia Lee,","X001121724","STACKS","STACKS","BOOK","6/29/96","2/4/11",0,0,0,2,1,3027,2,0.000239234449760766,0.0359605661474403,0.907042410950973,-0.320355200427118,-0.253047131285017,0.020320504285305,-0.394020811833557,0.673991697855752,0.756050161784515,0.216924681217027,2141,0.783075318782973,"0",0,2,0,"0",1,TRUE
"13","PZ 000010 .C56  LO 1957","PZ10 .C56 Lo 1957",1113524,"ALDERMAN",1957,"Long, long ago.","Clark, Mary Lou.","1113524-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.0653739449939656,0.907042410950973,-0.500087504335861,-0.253047131285017,1.74354295844477,-0.465769578583774,0.343704845050754,0.665361640742049,0.0385662981841646,2821,0.961433701815835,"0",0,0,0,"0",1,TRUE
"14","PZ 000010 .D2  SO 1941","PZ10 .D2 So 1941",1113528,"ALDERMAN",1941,"So sailors say,","Daugherty, Charles Michael,","X002178451","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,2,1,3973,2,0.000239234449760766,0.159496757302847,0.907042410950973,-0.320355200427118,-0.253047131285017,0.422632557995781,-0.394020811833557,0.579991822079183,0.847347414121032,0.140695310644034,2486,0.859304689355965,"0",0,2,0,"0",1,FALSE
"15","PZ 000010 .F714  YM 1959","PZ10 .F714 Ym 1959",1113530,"ALDERMAN",1959,"You will go to the moon","Freeman, Mae Blacker,","X000619901","STACKS","STACKS","BOOK","6/29/96","5/22/17",1,0,0,3,1,728,3,0.000358851674641148,0.0536085934553555,0.907042410950973,-0.230489048472746,-0.253047131285017,-0.957391347173876,-0.358146428458448,0.817526328591391,0.00800987519323826,0.441827454198103,1496,0.558172545801897,"1",0,3,0,"1",1,FALSE
"16","PZ 000010 .G48  LI 1944","PZ10 .G48 Li 1944",1113531,"ALDERMAN",1936,"Little black ant,","Gall, Alice Crew.","X000680988","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,0,1,3973,0,0,0.188910136149372,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.610057072229926,0.537716173334047,0.117256315664417,2669,0.882743684335583,"0",0,0,0,"0",1,TRUE
"17","PZ 000010 .H143  DA 1927","PZ10 .H143 Da 1927",1113534,"ALDERMAN",1927,"Days before history,","Hall, Henry Rushton.","X000685907","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,0,1,3973,0,0,0.241854218073117,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.60455427030977,0.652663662098348,0.111886290748822,2704,0.888113709251178,"0",0,0,0,"0",1,TRUE
"18","PZ 000010 .H847  LAS 1967","PZ10 .H847 Las 1967",1113536,"ALDERMAN",1967,"The last trumpeters,","Hutchins, Ross E.","X000457597","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,1,0,1,3973,0,0,0.006547187300915,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.628790154798509,0.705207355087623,0.137488327377815,2513,0.862511672622185,"0",1,0,0,"0",1,TRUE
"19","PZ 000010 .H9  OF 1959","PZ10 .H9 Of 1959",811526,"ALDERMAN",1959,"Off into space! Science for young space travelers.","Hyde, Margaret O. (Margaret Oldroyd),","X001133407","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,0,1,3973,0,0,0.0536085934553555,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.623990239718101,0.948767133755609,0.132002145488883,2562,0.867997854511117,"0",0,0,0,"0",1,FALSE
"20","PZ 000010 .L3  M5  1961","PZ10 .L3 M5 1961",1315371,"ALDERMAN",1961,"Winnie ille Pu; liber celeberrimus omnibus fere pueris puellisque notus nunc primum de anglico sermone in Latinum conversus auctore Alexandro Lenardo.","Milne, A. A. (Alan Alexander),","X030449904","STACKS","STACKS","BOOK","8/7/08","8/7/08",0,0,0,0,1,3938,0,0,0.0418432419167453,-0.637133382998992,-0.500087504335861,-0.253047131285017,0.407747862562519,-0.465769578583774,0.413139372707107,0.144607439637184,0.422493600003901,1549,0.577506399996099,"1",0,0,0,"1",1,FALSE
