"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"831","PF 003369 .S37  1985","PF3369 .S37 1985",83242,"ALDERMAN",1985,"Gebrauchstheorie der Bedeutung und Valenztheorie : Untersuchungen zum Problem der Hypostasierung von Bedeutungen /","Schmidt, Paul.","X001038840","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.27799865657127,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.384190959314564,0.453019604086876,0.224054540851837,1126,0.775945459148163,"0",0,0,0,"0",1,FALSE
"832","PF 003369 .V34  1982","PF3369 .V34 1982",717689,"ALDERMAN",1982,"Valenztheorie und historische Sprachwissenschaft : Beiträge zur sprachgeschichtlichen Beschreibung des Deutschen /","","X001183800","STACKS","STACKS","BOOK","6/29/96","8/30/96",0,0,0,3,1,8298,3,0.000358851674641148,-0.233690335175337,0.506780718023215,-0.035580772899442,-0.109541766723116,1.25291189869026,-0.0880158789668407,0.41578786372535,0.732671735808253,0.173419606359077,1244,0.826580393640923,"0",0,3,0,"0",1,FALSE
"833","PF 003385 .K66  2009","PF3385 .K66 2009",5018580,"ALDERMAN",2009,"Koordination und Subordination im Deutschen /","","X030613598","STACKS","STACKS","BOOK","10/9/09","1/1/00",0,0,0,0,1,7079,0,0,-0.632465227738729,-1.34205221609177,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.766226217022881,0.208488612668589,0.723419625179636,453,0.276580374820364,"0",0,0,0,"0",1,FALSE
"834","PF 003385 .S3","PF3385 .S3",482692,"ALDERMAN",1975,"Über Präsuppositionen zusammengesetzter Sätze im Deutschen /","Schiebe, Traugott.","X000293075","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.130304251918162,0.506780718023215,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.361117695142494,0.534848594106734,0.199486644513507,1192,0.800513355486493,"0",0,0,0,"0",1,FALSE
"835","PF 003390 .E8","PF3390 .E8",245386,"ALDERMAN",1979,"Die Wortstellung der deutschen Gegenwartssprache als Forschungsobjekt : mit e. krit. referierenden Bibliogr. /","Etzensperger, Jürg.","X000153033","STACKS","STACKS","BOOK","6/28/96","1/16/98",0,0,0,1,1,7794,1,0.000119602918311207,-0.189382013779405,0.507161920690042,-0.206509551960418,-0.109541766723116,1.03301393708757,-0.224534905247245,0.380809281010166,0.770445818314329,0.17403393273582,1242,0.82596606726418,"0",0,1,0,"0",1,FALSE
"836","PF 003390 .G47  2011","PF3390 .G47 2011",5288379,"ALDERMAN",2011,"Geschichte der Gesamtsatzstrukturen vom Althochdeutschen bis zum Frühneuhochdeutschen /","","X030821796","STACKS","STACKS","BOOK","2/15/11","1/1/00",0,0,0,0,1,7079,0,0,-0.66200410866935,-1.53036633350472,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.794401332148465,0.578101107850671,0.764829289766929,402,0.235170710233071,"0",0,0,0,"0",1,FALSE
"837","PF 003390 .H63  1981","PF3390 .H63 1981",163939,"ALDERMAN",1981,"Die Wortstellung in der geschriebenen deutschen Gegenwartssprache /","Hoberg, Ursula.","X000883218","STACKS","STACKS","BOOK","6/28/96","1/16/98",0,0,0,1,1,7794,1,0.000119602918311207,-0.218920894710026,0.507161920690042,-0.206509551960418,-0.109541766723116,1.03301393708757,-0.224534905247245,0.385489458459411,0.434233227511868,0.178320999392254,1236,0.821679000607746,"0",0,1,0,"0",1,FALSE
"838","PF 003390 .M85  1998","PF3390 .M85 1998",2777599,"ALDERMAN",1998,"Incomplete category fronting : a derivational approach to remnant movement in German /","Müller, Gereon,","X004120901","STACKS","STACKS","BOOK","3/18/98","1/1/00",0,0,0,0,1,7079,0,0,-0.47000138262031,0.267766645922163,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.460312640239523,0.156665920512751,0.307721170663791,1004,0.692278829336209,"0",0,0,0,"0",1,FALSE
"839","PF 003390 .S3","PF3390 .S3",201489,"ALDERMAN",1981,"The theory of German word order from the Renaissance to the present /","Scaglione, Aldo D.","X000219334","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,1,2,1,7079,2,0.000239205836622414,-0.218920894710026,0.507161920690042,-0.12104516242993,-0.109541766723116,0.721055519337729,-0.156287637430216,0.405812489538634,0.223594184499234,0.244098045463852,1086,0.755901954536148,"0",1,2,0,"0",1,FALSE
"840","PF 003390 .U85  1987","PF3390 .U85 1987",787735,"ALDERMAN",1987,"Word order and constituent structure in German /","Uszkoreit, Hans.","X001218308","STACKS","STACKS","BOOK","6/29/96","5/4/98",0,0,0,3,1,7686,3,0.000358851674641148,-0.307537537501891,0.506780718023215,-0.035580772899442,-0.109541766723116,0.985892945315569,-0.0880158789668407,0.432048337916474,0.37376648443751,0.227810314319234,1117,0.772189685680766,"0",0,3,0,"0",1,FALSE
