"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"12","PE 000001 .C66  N.S. V.110","PE1 .C66 n.s. v.110",2681713,"ALDERMAN",1997,"Blue in Old English : an interdisciplinary semantic study /","Biggam, C. P. (Carole Patricia),","X006034975","STACKS","STACKS","BOOK","4/15/97","11/28/16",1,0,1,4,1,903,4,0.000495662949194548,-0.388207427139992,0.439632445060459,-0.215136418403123,-0.219173203999182,-1.23120036597951,-0.296478657874481,0.779226138131634,0.201473032590002,0.724049634116535,1697,0.275950365883465,"0",1,4,0,"0",1,TRUE
"13","PE 000001 .C66  N.S. V.111","PE1 .C66 n.s. v.111",2682445,"ALDERMAN",1997,"Men alone : masculinity, individualism, and hard-boiled fiction /","Nyman, Jopi,","X006034973","STACKS","STACKS","BOOK","4/17/97","11/27/16",1,0,2,10,1,904,10,0.00123946455131383,-0.388207427139992,0.438751597072401,0.209968792676626,-0.219173203999182,-1.23081737089035,-0.0139091375654035,0.760019106485325,0.692612727871165,0.800630873246343,1378,0.199369126753657,"1",2,10,0,"1",1,TRUE
"14","PE 000001 .C66  N.S. V.112","PE1 .C66 n.s. v.112",2722858,"ALDERMAN",1997,"Writing on the edge : interviews with writers and editors of Wales /","Lloyd, David T.,","X006053734","STACKS","STACKS","BOOK","10/2/97","10/7/97",0,0,0,1,1,7895,1,0.000126582278481013,-0.388207427139992,0.364760366075535,-0.427689023942998,-0.219173203999182,1.44670129742636,-0.436692053196197,0.527968061531498,0.15463356510736,0.135762185480189,4090,0.864237814519811,"0",0,1,0,"0",1,TRUE
"15","PE 000001 .C66  N.S. V.113","PE1 .C66 n.s. v.113",2764803,"ALDERMAN",1998,"The matter of kings' lives : the design of past and present in the early fourteenth-century verse chronicles by Pierre de Langtoft and Robert Mannyng /","Summerfield, Thea.","X006072299","STACKS","STACKS","BOOK","2/4/98","10/24/06",0,0,0,2,1,4591,2,0.000257234726688103,-0.401721961867245,0.309707366821915,-0.356838155429707,-0.219173203999182,0.181285522842122,-0.387057312545069,0.642891242032355,0.3033240030054,0.390286263623983,2895,0.609713736376017,"0",0,2,0,"0",1,TRUE
"16","PE 000001 .C66  N.S. V.114","PE1 .C66 n.s. v.114",2763709,"ALDERMAN",1998,"Silk and potatoes : contemporary Arthurian fantasy /","Roberts, Adam,","X006072147","STACKS","STACKS","BOOK","1/30/98","8/13/98",0,0,0,2,1,7585,2,0.00025706940874036,-0.401721961867245,0.31190948679206,-0.356838155429707,-0.219173203999182,1.3279728197868,-0.387120116675981,0.526165447221183,0.699262121459469,0.168681804720278,3903,0.831318195279722,"0",0,2,0,"0",1,TRUE
"17","PE 000001 .C66  N.S. V.115","PE1 .C66 n.s. v.115",2788860,"ALDERMAN",1998,"Ireland in writing : interviews with writers and academics /","","X006075745","STACKS","STACKS","BOOK","4/22/98","11/30/04",0,0,1,3,1,5284,3,0.00038971161340608,-0.401721961867245,0.275794719281685,-0.285987286916415,-0.219173203999182,0.446701119629919,-0.336729469441102,0.604954727981523,0.138572830008343,0.352798373740344,3038,0.647201626259656,"0",1,3,0,"0",1,TRUE
"18","PE 000001 .C66  N.S. V.116","PE1 .C66 n.s. v.116",2788861,"ALDERMAN",1998,"Yeats and the drama of sacred space /","Meihuizen, Nicholas.","X006075737","STACKS","STACKS","BOOK","4/22/98","3/6/00",0,0,0,2,1,7014,2,0.00025980774227072,-0.401721961867245,0.275794719281685,-0.356838155429707,-0.219173203999182,1.10928262387651,-0.386079826375563,0.540828187452834,0.792798808543012,0.207478233318376,3736,0.792521766681624,"0",0,2,0,"0",1,TRUE
"19","PE 000001 .C66  N.S. V.117","PE1 .C66 n.s. v.117",2829415,"ALDERMAN",1998,"Talking to the dead : a study of Irish funerary traditions /","Witoszek, Nina.","X006078461","STACKS","STACKS","BOOK","9/9/98","7/15/14",0,0,0,3,1,1770,3,0.000396930404869013,-0.401721961867245,0.21413536011763,-0.285987286916415,-0.219173203999182,-0.899143623677897,-0.333987057438922,0.718747041420912,0.779249646235257,0.690133380444798,1821,0.309866619555202,"0",0,3,0,"0",1,TRUE
"20","PE 000001 .C66  N.S. V.118","PE1 .C66 n.s. v.118",2955247,"ALDERMAN",1999,"Love, sex, and marriage : a historical thesaurus /","Coleman, Julie,","X004350971","STACKS","STACKS","BOOK","10/14/99","7/21/16",0,0,0,2,1,1033,2,0.000279407655769768,-0.415236496594498,0.0379657625060445,-0.356838155429707,-0.219173203999182,-1.18141100438873,-0.378633837902635,0.71529126998392,0.984527891734615,0.768852584304143,1520,0.231147415695857,"1",0,2,0,"1",1,TRUE
"21","PE 000001 .C66  N.S. V.119","PE1 .C66 n.s. v.119",2884629,"ALDERMAN",1998,"Joyce and the Anglo-Irish : a study of Joyce and the literary revival /","Platt, Len.","X006077657","STACKS","STACKS","BOOK","2/25/99","12/18/15",2,0,1,10,1,1249,10,0.00135336310732169,-0.401721961867245,0.139703705126735,0.209968792676626,-0.219173203999182,-1.09868406513019,0.0293608153942794,0.695954216998095,0.741478239651769,0.827879259905707,1271,0.172120740094293,"1",1,10,0,"1",1,TRUE
