Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PH 000355 .W3  I36  1966,PH355 .W3 I36 1966,757769,ALDERMAN,1966,"The Roman; the memoirs of Minutus Lausus Manilianus, who has won the insignia of a triumph, who has the rank of Consul, who is chairman of the Priests' Collegium of the God Vespasian and a member of the Roman Senate","Waltari, Mika,",X000422284,STACKS,STACKS,BOOK,6/29/96,7/2/11,0,0,1,15,1
PH 000355 .W3  S52  1949,PH355 .W3 S52 1949,566734,CLEMONS,1949,"The Egyptian, a novel;","Waltari, Mika,",X000120511,BY-REQUEST,CHECKEDOUT,BOOK,6/29/96,3/11/19,1,0,1,21,1
PH 000355 .W8  T86  2013,PH355 .W8 T86 2013,6384018,ALDERMAN,2013,A delicate shade of pink : the lives of Hella Wuolijoki and Salme Dutt in the service of revolution /,"Tuomioja, Erkki.",X031666659,STACKS,STACKS,BOOK,9/2/14,1/1/00,0,0,0,0,1
PH 000356 .H578  E8813  2009,PH356 .H578 E8813 2009,4882787,CLEMONS,2009,When I forgot /,"Hirvonen, Elina,",X030569243,BY-REQUEST,BY-REQUEST,BOOK,6/10/09,6/16/09,0,0,0,1,1
PH 000356 .I78  K8313  2016,PH356 .I78 K8313 2016,6909651,ALDERMAN,2016,The weaver : a novel /,"Itäranta, Emmi,",X031772968,STACKS,STACKS,BOOK,11/16/16,11/22/16,1,0,0,1,1
PH 000356 .P85  T6813  2011,PH356 .P85 T6813 2011,5597499,ALDERMAN,2011,True /,"Pulkkinen, Riikka,",X031195158,STACKS,STACKS,BOOK,4/25/12,5/5/15,3,6,2,9,1
PH 003816.8 .P87  2000,PH3816.8 .P87 2000,3773325,ALDERMAN,2000,"Nenet?skie pesni-khynabt?sy : si?uzhetika, semantika i po?tika /","Pushkareva, E. T.",X004568486,STACKS,STACKS,BOOK,9/4/01,10/5/01,0,0,0,1,1
PH 000401 .E1  W3  1992,PH401 .E1 W3 1992,2042075,ALDERMAN,1992,A Way to measure time : contemporary finnish literature /,,X002189327,STACKS,STACKS,BOOK,6/30/96,11/15/15,2,0,0,9,1
PH 000401 .E3  E53  1990,PH401 .E3 E53 1990,1807111,ALDERMAN,1990,Enchanting beasts : an anthology of modern women poets of Finland /,,X002014406,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,3,1
PH 000502 .P3,PH502 .P3,345449,ALDERMAN,1962,Karjala Valdai murrak.,"Palmeos, Paula.",X000045222,STACKS,STACKS,BOOK,6/28/96,4/6/10,0,0,0,2,2
