Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HV 000394 .B464  T37  1982,HV394 .B464 T37 1982,655747,ALDERMAN,1982,Social reform in Bengal : a side sketch /,"Tattvabhushan, Sitanath.",X031941380,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HV 000394 .B5  A32  001964/000065,HV394 .B5 A32 1964/65,7323192,ALDERMAN,1966,Annual administration report for,Government of Bihar. Welfare Department,X031941426,STACKS,STACKS,BOOK,12/19/17,1/1/00,0,0,0,0,1
HV 000394 .B54  B53  1978,HV394 .B54 B53 1978,213411,ALDERMAN,1978,"A draft perspective plan, Bihar, 1978-89 : social services.","Bihar, India (State). Planning Board.",X031941425,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HV 000394 .B62  A37,HV394 .B62 A37,524553,ALDERMAN,1955,"Directory of public trusts; registered under the Bombay Public Trusts Act, 1950, West Khandesh district.",Bombay (India : State),X001063313,STACKS,STACKS,BOOK,6/29/96,9/21/09,0,0,0,0,1
HV 000394 .D43  I53  1978,HV394 .D43 I53 1978,1316937,ALDERMAN,1978,"Directory of social welfare agencies in India, Delhi.","India. Central Social Welfare Board. Research, Evaluation, and Statistics Division.",X001501643,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,2
HV 000394 .G84  S4815  1993,HV394 .G84 S4815 1993,2429223,ALDERMAN,1993,Ekatva k? ?r?dhan? : j?vana-kath? bhagin?dvaya-Hari?candrak? /,"Shah, Kantibhai,",X002621624,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HV 000394 .K343  I52  1980  V.000001,HV394 .K343 I52 1980 v.1,1638977,ALDERMAN,1980,"Directory of social welfare agencies in India, Karnataka.","India. Central Social Welfare Board. Research, Evaluation, and Statistics Division.",X001728345,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HV 000394 .K343  I52  1980  V.000002,HV394 .K343 I52 1980 v.2,1638977,ALDERMAN,1980,"Directory of social welfare agencies in India, Karnataka.","India. Central Social Welfare Board. Research, Evaluation, and Statistics Division.",X031941482,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HV 000394 .K343  I52  1980  V.000003,HV394 .K343 I52 1980 v.3,1638977,ALDERMAN,1980,"Directory of social welfare agencies in India, Karnataka.","India. Central Social Welfare Board. Research, Evaluation, and Statistics Division.",X031941483,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HV 000394 .K44  N37  1983,HV394 .K44 N37 1983,1370707,ALDERMAN,1983,Social welfare services /,"Narayana Pillai, G.",X001196679,STACKS,STACKS,BOOK,6/30/96,5/22/04,0,0,0,3,1
