"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"12723",1038804,"X000826440","PL2914 .A48 M6 1955","ALDERMAN","Mo lu.","Tuan, Ying.",1955,"6/29/96","10/26/07",0,1,0,1,"2",FALSE,10787,"0",0
"12724",2858863,"X030226034","PL2415 .T3","ALDERMAN","Zhongguo xiao shuo fa da shi /","",1935,"12/1/98","10/8/07",0,0,0,1,"2",FALSE,10788,"0",0
"12725",2852138,"X030226263","PL2780 .F4 A6 1947","ALDERMAN","Bajin xuan ji /","Ba, Jin,",1935,"11/10/98","10/25/07",0,0,0,1,"2",FALSE,10789,"0",0
"12726",1037833,"X001329978","PL2711 .M5 1955","ALDERMAN","Ming i tai fang lu.","Huang, Zongxi,",1955,"6/29/96","10/24/07",0,1,0,1,"2",FALSE,10790,"0",0
"12727",1043273,"X000298168","PL2264 .L544 1973 V.1","ALDERMAN","Chung-kuo wên hsüeh fa chan shih.","Liu, Dajie,",1964,"6/29/96","10/4/07",0,0,0,3,"2",TRUE,10791,"0",0
"12728",739604,"X000239319","PL1117 .C44","ALDERMAN","A primer of newspaper Chinese.","Chih, Yu-Ju,",1956,"6/29/96","9/26/07",0,1,0,1,"2",FALSE,10792,"0",0
"12729",688809,"X004264847","PL1510 .P4","ALDERMAN","Hanyu fangyan cihui / Han yu fang yan ci hui =","",1964,"6/29/96","10/1/07",1,0,0,1,"2",FALSE,10793,"0",0
"12730",1037756,"X002008684","PL2668 .H75 Y8 1955","ALDERMAN","Yü t?ai hsin yung.","",1955,"6/29/96","10/19/07",0,1,0,1,"2",FALSE,10794,"0",0
"12731",1038656,"X000677283","PL2781 .A54 C4","ALDERMAN","Qiushi za wen /","Liang, Shiqiu,",1963,"6/29/96","10/25/07",1,0,0,1,"2",TRUE,10795,"0",0
"12732",2876209,"X004317680","PL1420 .W18","ALDERMAN","Xin qiao zi dian /","",1933,"2/4/99","9/28/07",0,0,0,1,"2",FALSE,10796,"0",0
"12733",1043215,"X000329543","PL1455 .M33","ALDERMAN","A dictionary of new English words. Ying wên hsin tz? tz?? tien.","Mao, Yao-ming.",1964,"6/29/96","9/28/07",0,0,0,1,"2",FALSE,10797,"0",0
"12734",2858843,"X030333940","PL2567 .C86 1934","ALDERMAN","Zhonghua xi qu xuan /","",1934,"12/1/98","10/22/07",0,0,0,1,"2",FALSE,10799,"0",0
"12735",601032,"X000125619","PL2658 .E5 A7 1963","ALDERMAN","Famous Chinese plays.","(Lewis Charles), Arlington, L. C.",1963,"6/29/96","10/19/07",0,0,0,1,"2",FALSE,10800,"0",0
"12736",1037712,"X001608911","PL2653 .C54 1963","ALDERMAN","San tai jên ti chiao yin.","",1963,"6/29/96","10/16/07",1,0,0,1,"2",FALSE,10802,"0",0
"12737",473367,"X000163695","PL3277 .E8 Y82","ALDERMAN","Contemporary Chinese short stories,","Yuan, Jiahua,",1946,"6/29/96","10/26/07",0,2,0,1,"2",FALSE,10804,"0",0
"12738",2694173,"X030230232","PL2255 .C45","ALDERMAN","Baisha xian sheng ji nian ji,","Chen, Yingyao.",1952,"6/11/97","10/4/07",0,0,0,1,"2",FALSE,10805,"0",0
"12739",4685934,"X030340174","PL2594 .L8 1936","ALDERMAN","Nan xi shi yi /","",1936,"2/7/08","1/1/00",0,0,0,1,"2",FALSE,10806,"0",0
"12740",527977,"X000330183","PL1703 .B6 V.1","ALDERMAN","Spoken Amoy Hokkien,","Bodman, Nicholas Cleaveland,",1955,"6/29/96","10/1/07",0,2,0,2,"2",TRUE,10807,"0",0
