"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"6950",2717999,"X004113047","PR4559 .A2 P87 1997","ALDERMAN","Dombey and Son /","Dickens, Charles,",1997,"9/15/97","11/17/09",1,7,0,1,"2",FALSE,8053,"0",0
"6951",407789,"X000025147","PR5869 .L93 J65","ALDERMAN","The background, writing, and character of Wordsworth's 1798 Lyrical ballads / Why the Lyrical ballads? :","Jordan, John Emory,",1976,"6/28/96","10/2/07",1,15,0,1,"2",FALSE,8054,"0",0
"6952",537684,"X000004417","PR4836 .A45 1970","CLEMONS","Letters of John Keats: a new selection;","Keats, John,",1970,"6/29/96","7/17/08",1,14,0,1,"3",FALSE,8055,"0",0
"6953",741758,"X000238065","PR5684 .M7 1946","ALDERMAN","Mr. Scarborough's family.","Trollope, Anthony,",1946,"6/29/96","12/19/14",1,4,1,1,"2",FALSE,8056,"0",0
"6954",1072097,"X031768659","PR5332 .L6 1839 v.8","ALDERMAN","Memoirs of the life of Sir Walter Scott, Bart.","Lockhart, J. G. (John Gibson),",1839,"12/5/16","1/1/00",0,0,0,2,"2",TRUE,8057,"0",0
"6955",2055972,"X002189739","PR4331 .M32 1992","ALDERMAN","RB : a biography of Robert Burns /","Mackay, James A. (James Alexander),",1992,"6/30/96","4/16/10",0,9,0,1,"2",FALSE,8058,"0",0
"6956",563327,"X001056495","PR4513 .H813 1907b","ALDERMAN","George Crabbe and his times, 1754-1832; a critical and biographical study;","Huchon, René Louis,",1907,"6/29/96","9/15/17",0,2,0,1,"2",FALSE,8059,"0",0
"6957",394729,"X000094914","PR4754 .R5","ALDERMAN","the poetry of necessity / Thomas Hardy :","Richardson, James,",1977,"6/28/96","5/24/10",0,10,0,1,"2 14",FALSE,8060,"0",0
"6958",1071747,"X000686252","PR5252 .T5 1908","ALDERMAN","Selections from the works of John Ruskin;","Ruskin, John,",1908,"6/29/96","8/30/17",0,2,0,1,"2",FALSE,8061,"0",0
"6959",742148,"X000982138","PR4783 .A3 1907","ALDERMAN","Poems","Henley, William Ernest,",1907,"6/29/96","9/12/17",0,2,0,1,"2",FALSE,8063,"0",0
