Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
244616,2,ALDERMAN,STACKS,DE100 .M36,1977,al-Ba?r al-Abya? al-Mutawassi? f? al-istir?tij?yah al-dawl?yah /,"Miqlad, Ism???l ?abr?.",X001100011,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2395835,2,ALDERMAN,STACKS,DE100 .M42 1994 v.1,1994,Mediterranean politics /,,X002588659,BOOK,7/1/96,1/1/00,STACKS,0,0,1,0,1
2395835,2,ALDERMAN,STACKS,DE100 .M42 1994 v.2,1994,Mediterranean politics /,,X004340705,BOOK,11/17/99,1/1/00,STACKS,0,0,0,0,1
20541,2,ALDERMAN,STACKS,DE100 .M43 1984,1984,The Mediterranean region : economic interdependence and the future of security /,,X000690663,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
14166,2,ALDERMAN,STACKS,DE100 .W54 1984,1984,"Southern Europe transformed : political and economic change in Greece, Italy, Portugal and Spain /","Williams, Allan M.",X000875864,BOOK,6/28/96,5/2/97,STACKS,0,0,0,18,1
3725963,2,ALDERMAN,STACKS,DE100 .X46 2001,2001,The emerging Euro-Mediterranean system /,"Xenakis, Dimitris.",X004521686,BOOK,6/12/01,1/1/00,STACKS,0,0,0,0,1
215861,2,ALDERMAN,STACKS,DE100 .Z67,1980,La MÈditerranÈe sans les Grands? /,"Zorgbibe, Charles.",X000238409,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
6384345,2,ALDERMAN,STACKS,DE15 .F76 2014,2014,From abortion to pederasty : addressing difficult topics in the classics classroom /,,X031658614,BOOK,9/3/14,4/24/18,STACKS,3,1,0,4,1
2635207,2,ALDERMAN,STACKS,DE15.5 .E97 D37 1994,1994,Datenbanken in der alten Geschichte/,,X006016818,BOOK,12/10/96,5/20/97,STACKS,0,0,0,2,1
222167,2,ALDERMAN,STACKS,DE15.5 .F5 A34,1980,"Classical studies in Finland, 1828-1918 /","Aalto, Pentti,",X000448439,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
6161375,2,ALDERMAN,STACKS,DE15.5 .G3 H37 2013,2013,Winckelmann and the invention of Antiquity : history and aesthetics in the age of Altertumswissenschaft /,"Harloe, Katherine,",X031620876,BOOK,11/28/13,9/20/17,STACKS,4,33,0,37,1
183289,2,ALDERMAN,STACKS,DE15.5 .S65 G47,1980,Die Geschichte des Altertums im Spiegel der sowjetischen Forschung /,,X000446797,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
673295,2,ALDERMAN,STACKS,DE15.5 .U6 R44 1984,1984,Classica Americana : the Greek and Roman heritage in the United States /,"Reinhold, Meyer,",X000667123,BOOK,6/29/96,5/11/18,STACKS,3,6,5,66,1
673295,2,ALDERMAN,STACKS,DE15.5 .U6 R44 1984,1984,Classica Americana : the Greek and Roman heritage in the United States /,"Reinhold, Meyer,",X004308191,BOOK,4/14/99,11/26/18,CHECKEDOUT,2,53,2,70,1
1680319,2,ALDERMAN,STACKS,DE2 .D422 no.29,1989,"Imperii insignia, sella curulis und fasces : zur Repr‰sentation rˆmischer Magistrate /","Sch‰fer, Thomas.",X001779173,BOOK,6/30/96,2/10/12,STACKS,1,0,0,4,1
2641718,2,ALDERMAN,STACKS,DE2.5 .A86 1996,1996,Aspects of Hellenistic kingship /,,X004067866,BOOK,1/16/97,5/12/18,CHECKEDOUT,2,7,2,14,1
7329365,2,ALDERMAN,STACKS,DE2.5 .H47 2017,2017,"L'hÈritage grec des colonies romaines d'Orient : interactions culturelles dans les provinces hellÈnophones de l'empire romain : actes du colloque de Strasbourg, 8-9 novembre 2013 /",,X031841980,BOOK,1/8/18,2/5/18,STACKS,1,0,0,1,1
2847484,2,ALDERMAN,STACKS,DE2.5 .M52 1998,1998,"Das Mittelmeer, die Wiege der europ‰ischen Kultur /",,X004236415,BOOK,10/28/98,1/1/00,STACKS,0,0,0,0,1
2956632,2,ALDERMAN,STACKS,DE2.5 .O47 1996,1998,"Akten des 6. ÷sterreichischen Althistorikertages : 21.-23.11.1996, Institut f¸r Alte Geschichte der Universit‰t Innsbruck /",÷sterreichischer Althistorikertag,X004340925,BOOK,10/19/99,1/26/11,STACKS,0,0,0,0,1
