"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"7297",2480015,"X004285377","BP166.5 .S26 1975","ALDERMAN","Ism Nab? al-Isl?m f? Inj?l ??s· ?Alayhi al-Sal?m ?asba shah?dat Y??ann? /","Saqq?, A?mad ?ij?z? A?mad.",1975,"7/1/96","10/22/08",0,0,0,1,"2",FALSE,7355,"0",0
"7298",272381,"X000400461","BP573 .E8 E3 1975","ALDERMAN","Evolution : who and what is man /","Edge, Henry T.",1975,"6/28/96","10/24/08",0,0,0,1,"2",FALSE,7356,"0",0
"7299",266188,"X000400465","BP573 .P4 V3 1975","ALDERMAN","Man's divine parentage and destiny : the great rounds and races /","Van Pelt, Gertrude W. (Gertrude Wyckoff),",1975,"6/28/96","10/24/08",0,0,0,1,"2",TRUE,7356,"0",0
"7300",318077,"X000048179","BP188.8 .M82 A873","ALDERMAN","Un Cycle oral hagiographique dans le Moyen-Atlas marocain /","Drouin, Jeannine.",1975,"6/28/96","10/23/08",0,0,0,1,"2",FALSE,7357,"0",0
"7301",2300111,"X002442338","BP134 .P68 A76 1975","ALDERMAN","al-Tamw?n f? al-Isl?m /","??sh?r, al-Sayyid Mu?ammad.",1975,"7/1/96","10/20/08",0,0,0,1,"2",FALSE,7358,"0",0
"7302",2479738,"X004259933","BP144 .Z29 1975","ALDERMAN","Falsafat al-?ib?d?t f? al-Isl?m : ma?a madkhal il· ?ul?m al-shar??ah /","Zayd, Mu??af·.",1975,"7/1/96","10/20/08",0,0,0,1,"2",FALSE,7358,"0",0
"7303",242266,"X000849213","BP170 .E43","ALDERMAN","Elia & Islam in ancient scriptures.","",1975,"6/28/96","10/22/08",0,0,0,1,"2",FALSE,7360,"0",0
"7304",1338062,"X001561628","BP161.2 .N36 1975","ALDERMAN","Dir?s?t Isl?m?yah /","Nasr, Seyyed Hossein.",1975,"6/30/96","10/20/08",0,0,0,1,"2",FALSE,7361,"0",0
"7305",407983,"X000695285","BP161.2 .M56","ALDERMAN","L'Islam et les musulmans /","Milot, Jean-RenÈ",1975,"6/28/96","10/20/08",1,0,0,1,"2",FALSE,7362,"0",0
"7306",398347,"X001030252","BP163 .L4 1975","ALDERMAN","Islam, her moral and spiritual value : a rational and psychological study /","Leonard, Arthur Glyn.",1975,"6/28/96","10/20/08",1,0,0,1,"2",FALSE,7362,"0",0
"7307",202049,"X000913779","BP161 .A32 1978","ALDERMAN","A critical examination of the life and teachings of Mohammed /","Ali, Syed Ameer,",1978,"6/28/96","4/29/07",0,3,0,1,"2",FALSE,7363,"0",0
"7308",1165776,"X030232091","BP130.2 .S52","ALDERMAN","?Ul?m al-tafs?r.","Shi??tah, ?Abd All?h Ma?m?d.",1975,"6/29/96","10/16/08",0,0,0,1,"2",FALSE,7364,"0",0
"7309",3923699,"X004686530","BP63 .I4 C34 1999","ALDERMAN","The Calcutta Quran petition /","",1999,"3/14/03","1/1/00",0,0,0,1,"2",TRUE,7365,"0",0
"7310",1961040,"X001775621","BP40 .A55 1975 v.1","ALDERMAN","J?mi? al-?ul?m f? istil?h?t al-fun?n al-mulaqqab bi-Dust?r al-?ulama /","A?madnagar?, ?Abd al-Nab? ibn ?Abd al-Ras?l,",1975,"6/30/96","10/14/08",0,0,0,4,"2",TRUE,7366,"0",0
"7311",641596,"X000861716","BP75.2 .H8714","ALDERMAN","Mohammad, messager de Dieu a l'humanitÈ /","?usayn, Mamd??.",1975,"6/29/96","10/14/08",0,0,0,1,"2",FALSE,7367,"0",0
"7312",374999,"X031896919","BP130.4 .G38","ALDERMAN","Translations from the Quran /","Gauhar, Altaf,",1975,"6/28/96","5/21/08",0,1,0,1,"2",FALSE,7369,"0",0
