Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
165244,2,ALDERMAN,STACKS,DP402 .G6 L86 1980,1980,historia de esta célebre ciudad desde los tiempos mas remotos hasta nuestros días / Granada y sus contornos :,"Luque, José Francisco de.",X000177279,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
603434,2,ALDERMAN,STACKS,DP402 .G6 P4,1929,"Granada,","(Edgar Allison), Peers, E. Allison",X000052984,BOOK,6/29/96,4/3/11,STACKS,0,0,1,1,9
6999105,2,ALDERMAN,STACKS,DP402 .G6 R636 2017,2017,"migration, conversion, and the politics of Islam / Spain unmoored :","Rogozen-Soltar, Mikaela H.,",X031819024,BOOK,3/16/17,10/12/17,STACKS,1,0,1,1,1
161817,2,ALDERMAN,STACKS,DP402 .G6 S25,1980,Granada en el siglo XVIII /,"Sanz Sampelayo, Juan.",X000368404,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,2
7699020,2,ALDERMAN,IN-PROCESS,DP402 .G6 V559 1995x,1995,Figuras granadinas /,"Viñes, Cristina.",X032209036,BOOK,9/13/18,1/1/00,IN-PROCESS,0,0,0,1,0
955342,2,ALDERMAN,STACKS,DP402 .G88 L3 v.1,1942,"Historia de Guadalajara y sus Mendozas en los siglos XV y XVI,","Layna Serrano, Francisco.",X031882428,BOOK,11/7/17,1/1/00,STACKS,0,0,0,1,0
955342,2,ALDERMAN,STACKS,DP402 .G88 L3 v.2,1942,"Historia de Guadalajara y sus Mendozas en los siglos XV y XVI,","Layna Serrano, Francisco.",X006114345,BOOK,6/29/96,1/8/02,STACKS,0,0,0,1,3
955342,2,ALDERMAN,STACKS,DP402 .G88 L3 v.3,1942,"Historia de Guadalajara y sus Mendozas en los siglos XV y XVI,","Layna Serrano, Francisco.",X001137296,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
955342,2,ALDERMAN,STACKS,DP402 .G88 L3 v.4,1942,"Historia de Guadalajara y sus Mendozas en los siglos XV y XVI,","Layna Serrano, Francisco.",X031914640,BOOK,11/7/17,1/1/00,STACKS,0,0,0,1,0
185484,2,ALDERMAN,STACKS,DP402 .G92 A79,1980,De Acci a Guadix /,"Asenjo Sedano, Carlos.",X000597335,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
54045,2,ALDERMAN,STACKS,DP402 .G92 A84 1983,1983,la ciudad musulmana del siglo XV y su transformación en la ciudad neocristiana del siglo XVI / Guadix :,"Asenjo Sedano, Carlos.",X000920257,BOOK,6/28/96,3/26/97,STACKS,0,0,0,1,3
703439,2,ALDERMAN,STACKS,DP402 .G93 S67 1980,1980,Crónicas de Guardamar del Segura /,"Soria Marco, Bonifacio.",X001161033,BOOK,6/29/96,2/24/11,STACKS,0,0,0,1,0
374789,2,ALDERMAN,STACKS,DP402 .G933 F47,1975,El señorío de Guardo : aproximación a la historia de la villa en su época preindustrial /,"Fernández, Quirino.",X000701675,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1805366,2,ALDERMAN,STACKS,DP402 .G934 H47 1989,1989,Historia de Guaza /,"Herreros Estébanez, Francisco.",X002668331,BOOK,6/30/96,2/24/11,STACKS,0,0,0,1,1
112196,2,ALDERMAN,STACKS,DP402 .H37 H47 1979,1979,Noticias históricas de la muy noble y muy leal ciudad de Haro /,"Hergueta y Martín, Domingo,",X000888256,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
41225,2,ALDERMAN,STACKS,DP402 .H45 M67 1982,1982,Gente de Hellín /,"Moreno García, Antonio,",X000923901,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
2041118,2,ALDERMAN,STACKS,DP402 .H46 H84 1991,1991,siglos XIII-XX / Herencia y la Orden de San Juan :,"Huerta García, Florencio.",X002159114,BOOK,6/30/96,2/24/11,STACKS,0,0,0,1,1
113792,2,ALDERMAN,STACKS,DP402 .H54 B4,1979,"El poblado ibérico de Castillejo de la Romana : (la Puebla de Hijar, Teruel) /","Beltrán Lloris, Miguel.",X000463313,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
181300,2,ALDERMAN,STACKS,DP402 .H54 L3,1980,Recuerdos de Híjar /,"Laborda Gracia, Mariano.",X000464651,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
427183,2,ALDERMAN,STACKS,DP402 .H58 C75,1976,Historia de Hita y su Arcipreste : vida y muerte de una villa mozárabe /,"Criado de Val, Manuel.",X000701677,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
2854589,2,ALDERMAN,STACKS,DP402 .H58 C75 1998,1998,vida y muerte de una villa mozárabe / Historia de Hita y su Arcipreste :,"Criado de Val, Manuel.",X004262089,BOOK,11/17/98,1/1/00,STACKS,0,0,1,1,0
1774753,2,ALDERMAN,STACKS,DP402 .H68 Q4 1989,1989,introducción y edición  / El Libro de Vecindades de Huelma :,"Quesada Quesada, Tomás.",X001843391,BOOK,6/30/96,2/24/11,STACKS,0,0,1,1,0
1831558,2,ALDERMAN,STACKS,DP402 .H76 M67 1988,1988,"1569, un año en la vida de Huelma a través de su Notaría /","Moreno Trujillo, Ma. Amparo (María Amparo)",X002060400,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
1804513,2,ALDERMAN,STACKS,DP402 .H78 B39 1989,1989,Shaltish/Saltés (Huelva) : une ville médiévale d'Al-Andalus /,"Bazzana, Andrés.",X001945257,BOOK,6/30/96,3/3/00,STACKS,0,0,1,1,1
1228559,2,ALDERMAN,STACKS,DP402 .H78 P37 1980,1980,Huelva y Gibraleón (1282-1495) : documentos para su historia /,"Pardo Rodrâiguez, Marâia Luisa",X001328934,BOOK,6/30/96,2/24/11,STACKS,0,0,2,1,0
1803456,2,ALDERMAN,STACKS,DP402 .H8 A95 1987,1987,"Fundación, excelencias, grandezas, y cosas memorables de la antiquísima ciudad de Huesca : assi en lo temporal, como en los espiritual, divididas en cinco libros, cuyos sugetos dirà la pagina siguiente /","Aynsa y de Iriarte, Francisco Diego de,",X002045763,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
2041586,2,ALDERMAN,STACKS,DP402 .H83 Q55 1991,1991,La ciudad de Huete y su forteleza a fines de la Edad Media : a propósito de una reconstrucción en el reinado de los Reyes Católicos /,"Quintanilla Raso, M. C.",X002158585,BOOK,6/30/96,2/24/11,STACKS,0,0,1,1,1
702050,2,ALDERMAN,STACKS,DP402 .I23 G65 1984,1984,La necropolis del Puig des Molins (Ibiza) : campaña de 1946 /,"Gómez Bellard, Carlos.",X001181677,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
18219,2,ALDERMAN,STACKS,DP402 .I46 V43 1981,1981,Las calles de Teruel : evolución de sus nombres entre los siglos XIV y XX /,"Vega y Luque, Carlos L. de la.",X031882389,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
2621716,2,ALDERMAN,STACKS,DP402 .I54 H47 1982,1982,"estudio arqueológico : Aguilar del Río Alhama, La Rioja / Las ruinas de Inestrillas :","Hernández Vera, José Antonio.",X004039002,BOOK,10/23/96,2/24/11,STACKS,0,0,0,1,1
810176,2,ALDERMAN,STACKS,DP402 .I66 L25 v.1,1965,"Colección diplomática de Irache,","Lacarra, José María",X000492521,BOOK,6/29/96,5/4/12,STACKS,0,0,0,1,0
810176,2,ALDERMAN,STACKS,DP402 .I66 L25 v.2,1965,"Colección diplomática de Irache,","Lacarra, José María",X001255649,BOOK,6/29/96,5/4/12,STACKS,0,0,0,1,0
360847,2,ALDERMAN,STACKS,DP402 .I7 N38,1977,monografía / Irún en el siglo XX [i.e. veinte] :,"Navas, Emilio.",X000031001,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
360847,2,ALDERMAN,STACKS,DP402 .I7 N38 v.3,1977,monografía / Irún en el siglo XX [i.e. veinte] :,"Navas, Emilio.",X031914638,BOOK,11/7/17,1/1/00,STACKS,0,0,0,1,0
2621733,2,ALDERMAN,STACKS,DP402 .I83 M57 1981,1981,Historia de Isla Cristina /,"Miravent, José.",X006035583,BOOK,10/28/96,2/24/11,STACKS,0,0,0,1,2
105273,2,ALDERMAN,STACKS,DP402 .I85 S6,1981,Los cantabros y la ciudad de Iuliobriga /,"Solana Sáinz, José María.",X001149074,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
95310,2,ALDERMAN,STACKS,DP402 .J23 A93 1984,1984,La sublevación de Jaca /,"Azpíroz Pascual, José-María.",X001046952,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1380098,2,ALDERMAN,STACKS,DP402 .J23 B8 1979,1979,conferencia de presentación del Libro de la cadena / Aspectos de Jaca medieval :,"Buesa Oliver, Tomás.",X001633056,BOOK,6/30/96,2/24/11,STACKS,0,0,0,1,0
65504,2,ALDERMAN,STACKS,DP402 .J23 B84 1982,1982,"Jaca, dos mil años de historia /","Buesa Conde, Domingo.",X000509084,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,1
376958,2,ALDERMAN,STACKS,DP402 .J23 J3 1975,1975,"documentos municipales, 971-1269 / Jaca :",Jaca (Spain),X000701678,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1227725,2,ALDERMAN,STACKS,DP402 .J23 J32 1979,1979,"documentos reales, episcopales y municipales de los siglos X, XI, XII, XIII y XIV / El libro de la cadena del concejo de Jaca :",Jaca (Spain),X000355816,BOOK,6/30/96,2/24/11,STACKS,0,0,0,1,1
5336293,2,ALDERMAN,STACKS,DP402 .J25 A66 2010,2010,"Gobierno municipal, elites y monarquía en Jaén durante el reinado de Felipe III, 1598-1621 /","Aponte Marín, Angel,",X030950808,BOOK,4/14/11,1/1/00,STACKS,0,0,0,1,0
1827087,2,ALDERMAN,STACKS,DP402 .J25 J55 1983,1983,Historia de la antigua y continuada nobleza de la ciudad de Jaén /,"Jiménez Patón, Bartolomé.",X001216574,BOOK,6/30/96,2/24/11,STACKS,0,0,2,1,1
231717,2,ALDERMAN,STACKS,DP402 .J25 M34 1978,1978,Retrato al natural de la ciudad y término de Jaén /,"Martínez de Mazas, José,",X000171335,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1789865,2,ALDERMAN,STACKS,DP402 .J25 T67 1987,1987,Estudios sobre Jaén y el condestable Don Miguel Lucas /,"Toral Peñaranda, Enrique.",X001879272,BOOK,6/30/96,6/12/17,STACKS,0,0,1,1,2
4229142,2,ALDERMAN,STACKS,DP402 .J3 D45 2003,2003,"the Mudejar aljama of Xàtiva, 1240-1327 / A forgotten community :","O'Connor, Isabel A.",X004861940,BOOK,3/24/05,7/13/15,STACKS,1,0,1,1,3
2928717,2,ALDERMAN,STACKS,DP402 .J3 S34 1995,1995,"Sh??ibah, al-?i?n al-am?m? li-Sharq al-Andalus f? al-?a?r al-Isl?m? : al-t?r?kh al-siy?s? wa-al-?a??r? /","S?lim, Sa?ar al-Sayyid ?Abd al-?Az?z.",X004259204,BOOK,7/19/99,10/1/06,STACKS,0,0,0,1,1
146532,2,ALDERMAN,STACKS,DP402 .J4 G66 1980,1980,estudio y edición / El libro del repartimiento de Jerez de la Frontera :,"González Jiménez, Manuel.",X000369622,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,0
373104,2,ALDERMAN,STACKS,DP402 .J4 M58,1974,desde su incorporación a los dominios cristianos / Historia del Alcázar de Jerez de la Frontera :,"Monguió Becher, Fernando.",X000289051,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,0
143748,2,ALDERMAN,STACKS,DP402 .J4 T67 1981,1981,El Ateneo Jerezano : índice bibliográfico de su gestión y difusión cultural /,"Toribio Ruiz, Rosa María.",X000734773,BOOK,6/28/96,2/24/11,STACKS,0,0,1,1,0
338028,2,ALDERMAN,STACKS,DP402 .J8 G79,1976,Historia de Jumilla /,"Guardiola Tomás, Lorenzo.",X000045002,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
280701,2,ALDERMAN,STACKS,DP402 .J8 L69 1976,1976,Historia antigua y moderna de Jumilla /,"Lozano, Juan.",X000064954,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
1831576,2,ALDERMAN,STACKS,DP402 .L13 G3 1990,1990,poblamiento y organización politico-administrativa (s. X-XIII) / Labastida en la edad media :,"García Fernández, Ernesto.",X002064011,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
426566,2,ALDERMAN,STACKS,DP402 .L13 R46 1975,1975,La Alberca; monumento nacional /,"Requejo Vicente, José María.",X000701679,BOOK,6/29/96,2/24/11,STACKS,0,0,0,1,0
31294,2,ALDERMAN,STACKS,DP402 .L156 T67 1981,1981,"origen histórico militar de La Línea de la Concepción / La Línea de Gibraltar, 1730-1810 :","Tornay, Francisco.",X000959940,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,1
711945,2,ALDERMAN,STACKS,DP402 .L1565 L57 1980,1980,Apunts historics de La Llacuna /,"Llenas i Costa, Ramón.",X001184422,BOOK,6/29/96,2/24/11,STACKS,0,0,0,1,0
95686,2,ALDERMAN,STACKS,DP402 .L1565 V35 1984,1984,Cronologia històrica de La Llacuna /,"Valls i Prat, Marcel·lí.",X001025082,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
1736750,2,ALDERMAN,STACKS,DP402 .L159 M65 1985,1985,Historia de La Rambla y apuntes históricos y geográficos de las poblaciones de su partido /,"Montañez Lama, José,",X001809089,BOOK,6/30/96,2/24/11,STACKS,0,0,1,1,0
57529,2,ALDERMAN,STACKS,DP402 .L187 G87 1982,1982,"Lanjarón, historia y tradición /","Gutiérrez Padial, Juan.",X000938547,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
2146414,2,ALDERMAN,STACKS,DP402 .L19 A76 1992,1992,"Alonso Hernández, escribano público de Las Palmas (1557-1560) : estudio diplomático, extractos e índices /",,X006056854,BOOK,7/1/96,12/19/06,CHECKEDOUT,0,0,0,1,2
115284,2,ALDERMAN,STACKS,DP402 .L198 M66,1977,Carta arqueológica del señorío de Learza (Navarra) /,"Monreal Jimeno, Alberto.",X000497123,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
697082,2,ALDERMAN,STACKS,DP402 .L2 G3 1985,1985,La comunidad de Laguardia en la baja Edad Media (1350-1516) /,"García Fernández, Ernesto.",X001161135,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1291100,2,ALDERMAN,STACKS,DP402 .L257 R63 1985,1985,"Cosas de ""Viechas Dominas"" : costumbres, tradiciones y leyendas de la Comarca Pachxueza /","Rodríguez Cosmen, Melchor,",X001431619,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,0
2146202,2,ALDERMAN,STACKS,DP402 .L3 A48 1992,1992,La Ciudad de León en la Baja Edad Media : el espacio urbano /,"Alvarez Alvarez, César.",X006055631,BOOK,7/1/96,7/29/97,STACKS,0,0,0,1,1
207030,2,ALDERMAN,STACKS,DP402 .L3 B72 1979,1979,Rincones leoneses /,"Bravo Guarida, Miguel,",X000617198,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
276532,2,ALDERMAN,STACKS,DP402 .L3 E7,1977,Estructura social de la ciudad de Leon (siglos XI-XIII) /,"Estepa Díez, Carlos.",X000066897,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
1964260,2,ALDERMAN,STACKS,DP402 .L3 G25 1991,1991,La ciudad de León durante la Guerra  de Independencia /,"García Gutiérrez, Patrocinio.",X002125117,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,0
2055904,2,ALDERMAN,STACKS,DP402 .L3 R32 1990,1990,La romanización de León /,"Rabanal Alonso, Manuel Abilio.",X002212961,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
235776,2,ALDERMAN,STACKS,DP402 .L3 R56 1978,1978,Historia de la ciudad y corte de León y de sus reyes /,"Risco, Manuel,",X000225297,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1663039,2,ALDERMAN,STACKS,DP402 .L3 S3,1947,"estampas de la vida en León. Una ciudad hispano-cristiana hace un milenio,","Sánchez-Albornoz, Claudio,",X001759026,BOOK,6/30/96,3/25/09,STACKS,0,0,1,1,0
645706,2,ALDERMAN,STACKS,DP402 .L3 S3 1966,1966,estampas de la vida en León. Una ciudad de la España cristiana hace mil años;,"Sánchez-Albornoz, Claudio,",X000280649,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
59028,2 4,ALDERMAN,STACKS,DP402 .L3 V53 1982,1982,de romana a románica / La ciudad de León :,"Villanueva Lázaro, José María.",X000967896,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
2146328,2,ALDERMAN,STACKS,DP402 .L325 C65 1992 t.1,1992,Colección documental del Archivo Municipal de Lequeitio /,,X006056857,BOOK,7/1/96,2/24/11,STACKS,0,0,0,1,1
2146328,2,ALDERMAN,STACKS,DP402 .L325 C65 1992 t.2,1992,Colección documental del Archivo Municipal de Lequeitio /,,X006056858,BOOK,5/27/97,2/24/11,STACKS,0,0,0,1,1
2146328,2,ALDERMAN,STACKS,DP402 .L325 C65 1992 t.3,1992,Colección documental del Archivo Municipal de Lequeitio /,,X006056859,BOOK,5/27/97,2/24/11,STACKS,0,0,0,1,1
2146328,2,ALDERMAN,STACKS,DP402 .L325 C65 1992 t.4,1992,Colección documental del Archivo Municipal de Lequeitio /,,X006056866,BOOK,5/27/97,2/24/11,STACKS,0,0,0,1,1
337919,2,ALDERMAN,STACKS,DP402 .L33 L6237,1977,época de los Austrias / Lérida moderna :,"Lladonosa, Josep,",X000032972,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
161518,2,ALDERMAN,STACKS,DP402 .L33 L6238,1980,época de los Borbones / Lérida moderna :,"Lladonosa, Josep,",X000473966,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,0
663575,2,ALDERMAN,STACKS,DP402 .L33 L625 1979,1979,"problemàtica arqueològica i urbanística d'una antiga ciutadella / La Suda, parròquia de la Seu de Lleida :","Lladonosa, Josep,",X000758447,BOOK,6/29/96,2/24/11,STACKS,0,0,1,1,0
337917,2,ALDERMAN,STACKS,DP402 .L33 P55,1977,Lérida morisca /,"Pita Mercé, Rodrigo.",X000378678,BOOK,6/28/96,11/12/03,STACKS,0,0,1,1,2
789599,2,ALDERMAN,STACKS,DP402 .L38 S25 1981,1981,Las calles de Linares : su historia y vicisitudes /,"Sánchez Caballero, Juan.",X001161029,BOOK,6/29/96,2/24/11,STACKS,0,0,1,1,0
1835045,2,ALDERMAN,STACKS,DP402 .L6 G65 1989,1989,Logroño y sus alrededores /,"Gómez, Antero.",X002642966,BOOK,6/30/96,2/24/11,STACKS,0,0,0,1,1
