Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
997597,2,ALDERMAN,STACKS,PA4037 .M83 1966,1966,Athene als göttliche Helferin in der Odyssee.,"Müller, Marion",X031212848,BOOK,6/29/96,1/1/00,STACKS,0,0,2,1,0
997598,2,ALDERMAN,STACKS,PA4037 .M9 1958,1958,Homer and his critics.,"Myres, John Linton,",X000596555,BOOK,6/29/96,5/23/05,STACKS,0,0,0,1,17
997598,2,ALDERMAN,STACKS,PA4037 .M9 1958,1958,Homer and his critics.,"Myres, John Linton,",X000686607,BOOK,6/29/96,2/14/17,CHECKEDOUT,0,5,2,1,10
2247745,2,ALDERMAN,STACKS,PA4037 .N28 1995,1995,Turning: from persuasion to philosophy : a reading of Homer's Iliad /,"Naas, Michael.",X002611016,BOOK,7/1/96,4/18/14,STACKS,1,1,3,1,15
30347,2,ALDERMAN,STACKS,PA4037 .N29 1864,1864,ein Hülfsbuch für das Verständniss des Dichters Überhaupt. Anmerkungen zur Ilias (A. Bl-483.r.) Nebst einigen Excursen;,"Nägelsbach, Karl Friedrich von,",X001151370,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,0
466793,2,ALDERMAN,STACKS,PA4037 .N34,1974,a study in the oral art of Homer / Spontaneity and tradition :,"Nagler, Michael N.",X000292810,BOOK,6/29/96,9/12/15,STACKS,2,0,0,1,14
5100126,2,ALDERMAN,STACKS,PA4037 .N343 2009,2009,Homer the classic /,"Nagy, Gregory.",X030608235,BOOK,3/5/10,5/2/18,CHECKEDOUT,5,6,0,1,12
5564817,2,ALDERMAN,STACKS,PA4037 .N344 2010,2010,Homer the preclassic /,"Nagy, Gregory.",X031228288,BOOK,3/2/12,4/20/17,STACKS,2,3,0,1,5
2624443,2,ALDERMAN,STACKS,PA4037 .N345 1996,1996,Homeric questions /,"Nagy, Gregory.",X004044498,BOOK,11/1/96,5/12/18,CHECKEDOUT,2,7,2,1,52
4004717,2,ALDERMAN,STACKS,PA4037 .N347 2003,2003,Homeric responses /,"Nagy, Gregory.",X004742634,BOOK,2/3/04,4/20/17,STACKS,3,6,4,1,17
4213939,2,ALDERMAN,STACKS,PA4037 .N348 2004,2004,Homer's text and language /,"Nagy, Gregory.",X004824380,BOOK,12/3/04,2/14/17,CHECKEDOUT,1,5,1,1,15
2524616,2,ALDERMAN,STACKS,PA4037 .N35 1996,1996,Poetry as performance : Homer and beyond /,"Nagy, Gregory.",X002753416,BOOK,7/1/96,5/12/18,STACKS,3,9,1,1,49
2480443,2,ALDERMAN,STACKS,PA4037 .N358 1995,1995,Nuclei tematici dell'Iliade : il duello in sogno /,"Nannini, Simonetta,",X006056406,BOOK,7/1/96,10/13/14,STACKS,1,0,0,1,1
1245140,2,ALDERMAN,STACKS,PA4037 .N36 1986,1986,Omero e il suo pubblico : nel pensiero dei commentatori antichi /,"Nannini, Simonetta,",X001218883,BOOK,6/30/96,3/13/07,STACKS,0,0,0,1,1
4446133,2,ALDERMAN,STACKS,PA4037 .N37 2006,2006,non-fatal injury in Homer's Iliad / The wounded hero :,"Neal, Tamara,",X030007468,BOOK,11/29/06,10/12/15,STACKS,1,0,1,1,4
997600,2,ALDERMAN,STACKS,PA4037 .N4 1861,1861,Homeric translation in theory and practice.,"Newman, Francis William,",X002641850,BOOK,6/29/96,3/14/11,STACKS,0,0,0,1,1
2677719,2,ALDERMAN,STACKS,PA4037 .N42 1997,1997,A new companion to Homer /,,X004093449,BOOK,4/3/97,5/12/18,CHECKEDOUT,2,6,15,1,75
6442721,2,ALDERMAN,STACKS,PA4037 .N523 2014,2014,Why Homer matters /,"Nicolson, Adam,",X031719788,BOOK,12/29/14,4/20/16,STACKS,3,2,0,1,5
1260524,2,ALDERMAN,STACKS,PA4037 .N527 1987,1987,Struktur und Dynamik in den Kampfszenen der Ilias /,"Niens, Christine.",X001336750,BOOK,6/30/96,4/26/07,STACKS,0,0,1,1,7
997601,2,ALDERMAN,STACKS,PA4037 .N57 1933,1933,"Homer and Mycenae,","(Martin Persson), Nilsson, Martin P.",X000303107,BOOK,6/29/96,4/26/10,STACKS,0,0,1,1,2
563316,3,CLEMONS,BY-REQUEST,PA4037 .N57 1968,1968,"Homer and Mycenae,","(Martin Persson), Nilsson, Martin P.",X000119745,BOOK,6/29/96,2/25/14,BY-REQUEST,1,0,0,1,4
359946,2,ALDERMAN,STACKS,PA4037 .N84 1869,1869,Untersuchungen über die Berechtigung der auflösenden Homerkritik / Die Entstehungsweise der homerischen Gedichte :,"Nutzhorn, Frederik,",X001151372,BOOK,6/28/96,7/2/15,STACKS,0,0,0,1,0
2151907,2,ALDERMAN,STACKS,PA4037 .O27 1993,1993,"The transformation of Hera : a study of ritual, hero, and the goddess in the Iliad /","O'Brien, Joan V.",X002313587,BOOK,7/1/96,4/12/12,STACKS,0,1,1,1,10
571739,2,ALDERMAN,STACKS,PA4037 .O89 1966,1966,The story of the Iliad.,"Owen, E. T. (Eric Trevor),",X000305241,BOOK,6/29/96,6/6/17,CHECKEDOUT,1,0,0,1,21
997602,2,ALDERMAN,STACKS,PA4037 .P27 1959,1959,History and the Homeric Iliad.,"(Denys Lionel), Page, D. L.",997602-1003,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
997602,2,ALDERMAN,STACKS,PA4037 .P27 1959,1959,History and the Homeric Iliad.,"(Denys Lionel), Page, D. L.",X001086459,BOOK,6/29/96,7/25/16,STACKS,1,13,2,1,22
429343,3,CLEMONS,BY-REQUEST,PA4037 .P27 1976,1976,History and the Homeric Iliad /,"(Denys Lionel), Page, D. L.",X000132927,BOOK,6/29/96,6/20/08,BY-REQUEST,0,0,0,1,5
9659,2,ALDERMAN,STACKS,PA4037 .P28 1983,1983,Die ideale Form der Polis bei Homer und Hesiod /,"Panagiotou, Konstantinos St.,",X000921440,BOOK,6/28/96,8/3/99,STACKS,0,0,0,1,15
547203,2,ALDERMAN,STACKS,PA4037 .P3,1971,The making of Homeric verse: the collected papers of Milman Parry;,"Parry, Milman.",X000271718,BOOK,6/29/96,2/14/17,CHECKEDOUT,3,8,3,1,45
2096843,2,ALDERMAN,STACKS,PA4037 .P348 1992,1992,Homer und Mykene : mündliche Dichtung und Geschichtsschreibung /,"Patzek, Barbara,",X002244656,BOOK,6/30/96,3/31/02,STACKS,0,0,1,1,2
997603,2,ALDERMAN,STACKS,PA4037 .P35,1972,Dichterische Kunst und poetisches Handwerk im homerischen Epos.,"Patzer, Harald.",X000271717,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1829262,2,ALDERMAN,STACKS,PA4037 .P36 1991a,1898,The women of Homer /,"Perry, Walter Copland,",X001926350,BOOK,6/30/96,4/26/13,STACKS,1,1,3,1,27
3940048,2,ALDERMAN,STACKS,PA4037 .P43 2002,2002,La parole vive : communiquer en catalogue dans l'épopée homérique /,"Perceau, Sylvie.",X004718295,BOOK,5/8/03,10/8/14,STACKS,1,0,1,1,2
6245075,2,ALDERMAN,STACKS,PA4037 .P47 2014,2014,the Tabulae Iliacae in their Roman context / Homer in stone :,"Petrain, David",X031629984,BOOK,4/23/14,2/13/18,STACKS,1,0,0,1,1
3994986,2,ALDERMAN,STACKS,PA4037 .P66 2004,2004,Homer /,"Powell, Barry B.",X004702510,BOOK,12/16/03,2/11/04,STACKS,0,0,2,1,4
4619353,2,ALDERMAN,STACKS,PA4037 .P66 2007,2007,Homer /,"Powell, Barry B.",X030275640,BOOK,8/23/07,4/21/18,CHECKEDOUT,3,10,1,1,20
688641,2,ALDERMAN,STACKS,PA4037 .P8 1987,1987,Odysseus Polutropos : intertextual readings in the Odyssey and the Iliad /,"Pucci, Pietro.",X001187425,BOOK,6/29/96,12/3/14,STACKS,1,3,3,1,35
2766740,2,ALDERMAN,STACKS,PA4037 .P86 1998,1998,The song of the sirens : essays on Homer /,"Pucci, Pietro.",X004151803,BOOK,2/11/98,4/2/16,STACKS,3,0,6,1,23
2642422,2,ALDERMAN,STACKS,PA4037 .Q47 1998,1998,Quaestiones homericae : Acta Colloquii Namurcensis habiti diebus 7-9 mensis Semptembris anni 1995 /,,X004241818,BOOK,1/17/97,10/9/03,STACKS,0,0,1,1,2
2759184,2,ALDERMAN,STACKS,PA4037 .R28 1997,1997,Plot and point of view in the Iliad /,"Rabel, Robert J.,",X004151194,BOOK,1/21/98,6/5/14,STACKS,0,4,2,1,25
4368051,2,ALDERMAN,STACKS,PA4037 .R285 2002,2002,L'Iliade al quadrato : retorica dell'allusività e miti concorrenti /,"Radif, Ludovica.",X030086565,BOOK,5/19/06,1/1/00,STACKS,0,0,0,1,0
122464,2,ALDERMAN,STACKS,PA4037 .R35,1981,Singuläre Iterata der Ilias /,"Ramersdorfer, Hans.",X000528377,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
7347117,2,ALDERMAN,STACKS,PA4037 .R3735 2018,2018,oral traditions from Saudi Arabia to Indonesia / The homeric simile in comparative perspectives :,"Ready, Jonathan L.,",X031824823,BOOK,1/24/18,3/8/18,STACKS,0,0,0,1,0
4890001,2,ALDERMAN,STACKS,PA4037 .R374 2009,2009,Homer's winged words : the evolution of early Greek epic diction in the light of oral theory /,"Reece, Steve,",X030565935,BOOK,7/9/09,2/14/17,CHECKEDOUT,1,2,0,1,8
464304,2 3,ALDERMAN,STACKS,PA4037 .R38,1975,Nature and culture in the Iliad : the tragedy of Hector /,"Redfield, James M.,",X000207202,BOOK,6/29/96,9/14/17,CHECKEDOUT,2,2,3,1,94
464304,2 3,ALDERMAN,STACKS,PA4037 .R38,1975,Nature and culture in the Iliad : the tragedy of Hector /,"Redfield, James M.,",X000403450,BOOK,6/29/96,7/30/17,STACKS,0,1,4,1,43
464304,2 3,CLEMONS,BY-REQUEST,PA4037 .R38,1975,Nature and culture in the Iliad : the tragedy of Hector /,"Redfield, James M.,",X000389115,BOOK,6/29/96,4/14/15,BY-REQUEST,0,7,2,1,36
2289728,2,ALDERMAN,STACKS,PA4037 .R38 1994,1994,Nature and culture in the Iliad : the tragedy of Hector /,"Redfield, James M.,",X002444933,BOOK,7/1/96,12/12/17,STACKS,5,12,4,1,73
2103762,2,ALDERMAN,STACKS,PA4037 .R385 1993,1993,The stranger's welcome : oral theory and the aesthetics of the Homeric hospitality scene /,"Reece, Steve,",X002232117,BOOK,6/30/96,9/4/18,CHECKEDOUT,2,22,6,1,50
2300278,2,ALDERMAN,STACKS,PA4037 .R395 1994,1994,Fernbeziehungen in der Ilias /,"Reichel, Michael.",X002498708,BOOK,7/1/96,6/22/04,STACKS,0,0,1,1,3
997605,2,ALDERMAN,STACKS,PA4037 .R45,1961,Die Ilias und ihr Dichter.,"Reinhardt, Karl,",X000391995,BOOK,6/29/96,2/14/17,CHECKEDOUT,1,5,2,1,26
28000,2,ALDERMAN,STACKS,PA4037 .R46 1983,1983,Die situative Weltsicht Homers : eine Interpretation der Ilias /,"Reucher, Theo.",X000505293,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1748111,2,ALDERMAN,STACKS,PA4037 .R5 1990,1990,The Homeric narrator /,"Richardson, Scott Douglas.",X001826462,BOOK,6/30/96,2/14/17,CHECKEDOUT,4,5,4,1,49
7245408,2,ALDERMAN,STACKS,PA4037 .R526 2017,2017,"Communication, love, and death in Homer and Virgil : an introduction /","Ridd, Stephen,",X031809572,BOOK,9/27/17,9/28/17,STACKS,0,0,0,1,0
4815226,2,ALDERMAN,STACKS,PA4037 .R56 2008,2008,Homer and the dual model of the tragic /,"Rinon, Yoav.",X030474472,BOOK,1/27/09,2/14/17,CHECKEDOUT,1,3,0,1,5
997606,2,ALDERMAN,STACKS,PA4037 .R6,1901,"Studien zur Ilias von Carl Robert,","Robert, Carl,",X032306749,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
4642655,2,ALDERMAN,STACKS,PA4037 .R64 2007,2007,"la fin du monde des héros dans les épopées homériques / ""--et recouvre d'une montagne leur cité!"" :","Roguin, Claire-Françoise de.",X030334216,BOOK,10/22/07,1/1/00,STACKS,0,0,0,1,0
36300,2,ALDERMAN,STACKS,PA4037 .R76 1983,1983,"Perspectives actuelles sur l'épopée homérique, ou, comment la recherche peut renouveler la lecture des textes /","Romilly, Jacqueline de.",X000978658,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
2726794,2,ALDERMAN,STACKS,PA4037 .R76 1997,1997,Hector /,"Romilly, Jacqueline de.",X006044267,BOOK,10/21/97,4/26/00,STACKS,0,0,0,1,5
203818,2,ALDERMAN,STACKS,PA4037 .R8,1914,La religion dans Homère /,"Roussel, Alfred,",X001048443,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
2533470,2,ALDERMAN,STACKS,PA4037 .R87 1996,1996,Homer /,"Rutherford, Richard.",X002304519,BOOK,7/1/96,4/13/17,STACKS,2,5,2,1,38
6110442,2,ALDERMAN,STACKS,PA4037 .R87 2013,2013,Homer /,"Rutherford, R. B.",X031591032,BOOK,8/8/13,10/6/18,CHECKEDOUT,2,44,0,1,46
774736,2,ALDERMAN,STACKS,PA4037 .S22 1987,1987,"two studies in form, meaning, and interpretation / The traditional phrase in Homer :","Sacks, Richard.",X001275811,BOOK,6/29/96,10/19/16,STACKS,2,0,0,1,8
5226226,2,ALDERMAN,STACKS,PA4037 .S25 2010,2010,The art and rhetoric of the Homeric catalogue /,"Sammons, Benjamin.",X030774474,BOOK,10/6/10,9/13/18,CHECKEDOUT,3,4,0,1,11
4708870,2,ALDERMAN,STACKS,PA4037 .S28 2008,2008,"Schicksal, Götter und Handlungsfreiheit in den Epen Homers /","Sarischoulis, Efstratios.",X030407707,BOOK,4/11/08,9/9/15,STACKS,1,0,0,1,1
4470623,2,ALDERMAN,STACKS,PA4037 .S32 2006,2006,"Iliade : langue, récit, écriture : l'épopée homérique et l'invention de la citoyenneté /","Sauge, André.",X030197263,BOOK,2/27/07,1/1/00,STACKS,0,0,1,1,0
1842992,2,ALDERMAN,STACKS,PA4037 .S344 1990,1990,Der Götterstreit in der Ilias /,"Schäfer, Melsene.",X002012906,BOOK,6/30/96,11/19/15,STACKS,1,0,0,1,7
997607,2,ALDERMAN,STACKS,PA4037 .S345 1965,1959,Von Homers Welt und Werk;,"Schadewaldt, Wolfgang,",X000596553,BOOK,6/29/96,10/15/16,STACKS,1,0,4,1,21
4698242,2,ALDERMAN,STACKS,PA4037 .S365 1921,1921,Die Schönheit Homers /,"Scheffer, Thassilo von,",X030365813,BOOK,3/17/08,1/1/00,STACKS,0,0,0,1,0
2254439,2,ALDERMAN,STACKS,PA4037 .S38 1993,1993,Die Odyssee--nach den Odysseen : Betrachtungen zu ihrer individuellen Physiognomie /,"Schwinge, Ernst-Richard.",X002437412,BOOK,7/1/96,9/16/08,STACKS,0,0,0,1,9
390484,2,ALDERMAN,STACKS,PA4037 .S39 1976,1976,Die Erklärungen zum Weltbild Homers und zur Kultur der Heroenzeit in den bT-Scholien zur Ilias /,"Schmidt, Martin,",X000713495,BOOK,6/28/96,4/25/17,STACKS,1,3,0,1,4
36426,2 14,ALDERMAN,STACKS,PA4037 .S394 1984,1984,an introduction to Homer's Iliad / The mortal hero :,"Schein, Seth L.",X000667014,BOOK,6/28/96,5/3/17,STACKS,2,5,4,1,49
36426,2 14,ALDERMAN,STACKS,PA4037 .S394 1984,1984,an introduction to Homer's Iliad / The mortal hero :,"Schein, Seth L.",X001615808,BOOK,6/28/96,2/14/17,CHECKEDOUT,2,6,1,1,57
642691,2,ALDERMAN,STACKS,PA4037 .S396 1981,1981,"les représentations de l'animal chez Homère / Lions, héros, masques :","Schnapp-Gourbeillon, Annie.",X000484459,BOOK,6/29/96,7/4/03,STACKS,0,0,2,1,3
378002,2,ALDERMAN,STACKS,PA4037 .S4 1975,1975,Ilias und Appollonhymnos /,"Schröder, Joachim.",X032306748,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
